season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
12,Main,Jayce,5,6.3,2,3,2,3,0,100,3,5,5.67,1.73,251.33,7.95,12.7,403,23800,752,63.4,22,21.2
12,Main,Kennen,5,6.3,2,3,3,1,2,33.3,2,3.67,3.33,1.45,235.67,7.55,11,352,15800,507,59.3,22.2,21
12,Main,Braum,4,5,2,2,1,2,0,100,1,1,13.5,14.5,35.5,1.05,9,264,6900,203,96.7,6.7,13.6
12,Main,Alistar,4,5,2,2,2,1,1,50,1,2,10,5.5,26.5,0.89,7.2,241,4700,156,66.7,6.1,12.4
12,Main,Kayn,4,5,2,2,1,0,2,0,3,3,5,2.67,210.5,5.95,12.1,343,14900,421,88.9,33.3,21
12,Main,Orianna,3,3.8,,3,3,2,1,66.7,5.33,1.33,6.33,8.75,320.33,9.56,15.4,460,19800,590,85.4,39,24.6
12,Main,Swain,3,3.8,1,2,2,1,1,50,2,1.5,4.5,4.33,212.5,8.25,9.4,367,12800,495,76.5,23.5,21.8
12,Main,Karthus,3,3.8,2,1,1,1,0,100,9,5,11,4,266,6.4,18.9,455,54700,1316,95.2,42.9,26
12,Main,Nocturne,3,3.8,2,1,1,1,0,100,5,4,8,3.25,171,5.53,11.5,373,11600,374,56.5,21.7,17.2
12,Main,Bard,2,2.5,,2,2,1,1,50,0,1,7.5,7.5,38.5,1.07,7.5,211,4800,133,55.6,0,12.3
12,Main,Blitzcrank,2,2.5,,2,2,1,1,50,0.5,2.5,7,3,31.5,1.21,6.4,245,4000,154,60,4,13
12,Main,Gwen,2,2.5,,2,2,1,1,50,2,3.5,3.5,1.57,277.5,7.73,13.7,383,23000,641,55,20,21
12,Main,Jhin,2,2.5,,2,2,1,1,50,2,2,7,4.5,227,7.91,11,384,14200,493,75,16.7,20.2
12,Main,Xayah,2,2.5,,2,2,1,1,50,5.5,0.5,3.5,18,430,10.77,19.1,478,27000,676,85.7,52.4,27.3
12,Main,Rakan,2,2.5,1,1,1,1,0,100,0,3,15,5,38,1.13,8.3,247,6000,178,83.3,0,12.8
12,Main,Darius,2,2.5,1,1,1,0,1,0,4,2,5,4.5,228,6.57,12.9,373,15000,432,60,26.7,20.8
12,Main,Fiddlesticks,2,2.5,1,1,1,0,1,0,2,3,1,1,127,5.07,7.4,295,8500,340,50,33.3,19.6
12,Main,Singed,2,2.5,1,1,1,0,1,0,1,3,3,1.33,150,4.98,7.8,258,5200,173,80,20,16.2
12,Main,Mordekaiser,2,2.5,2,0,,0,0,,,,,,,,,,,,,,
12,Main,Nilah,2,2.5,2,0,,0,0,,,,,,,,,,,,,,
12,Main,Shen,1,1.3,,1,1,1,0,100,2,0,4,6,247,7.59,12.4,380,12500,383,40,13.3,19.2
12,Main,Anivia,1,1.3,,1,1,0,1,0,1,3,3,1.33,274,8.69,11.3,359,13700,434,57.1,14.3,23
12,Main,Irelia,1,1.3,,1,1,0,1,0,1,8,2,0.38,248,7.28,11.5,339,15900,466,17.6,5.9,19.5
12,Main,Malphite,1,1.3,,1,1,0,1,0,0,5,5,1,233,6.85,10.8,318,14500,426,45.5,0,18.7
12,Main,Nasus,1,1.3,,1,1,0,1,0,0,4,3,0.75,15,0.5,5.7,190,6100,203,75,0,12.1
12,Main,Rumble,1,1.3,,1,1,0,1,0,2,6,1,0.5,234,7.74,10.5,347,11600,385,75,50,22.1
12,Main,Wukong,1,1.3,,1,1,0,1,0,2,5,5,1.4,159,3.75,11.4,270,11900,281,63.6,18.2,16.9
12,Main,Xin Zhao,1,1.3,,1,1,0,1,0,1,3,3,1.33,179,6.27,9,316,7600,266,100,25,20.5
12,Main,Olaf,1,1.3,1,0,,0,0,,,,,,,,,,,,,,
