Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year
Worlds 2015,WCS,2015-10-09 16:09:00,33:37,EDward Gaming,H2k-Gaming,1,0,EDward Gaming,2015
Worlds 2015,WCS,2015-10-09 17:07:00,26:58,SK Telecom T1,Bangkok Titans,1,0,SK Telecom T1,2015
Worlds 2015,WCS,2015-10-10 09:46:00,55:27,TSM,Origen,0,1,Origen,2015
Worlds 2015,WCS,2015-10-10 11:20:00,39:59,KT Rolster,LGD Gaming,1,0,KT Rolster,2015
Worlds 2015,WCS,2015-10-10 12:31:00,46:56,TSM,KT Rolster,0,1,KT Rolster,2015
Worlds 2015,WCS,2015-10-10 14:08:00,39:41,Origen,LGD Gaming,0,1,LGD Gaming,2015
Worlds 2015,WCS,2015-10-10 14:53:00,40:20,Origen,KT Rolster,0,1,KT Rolster,2015
Worlds 2015,WCS,2015-10-10 16:02:00,36:50,LGD Gaming,TSM,1,0,LGD Gaming,2015
Worlds 2015,WCS,2015-10-11 07:51:00,34:42,ahq eSports Club,Invictus Gaming,1,0,ahq eSports Club,2015
Worlds 2015,WCS,2015-10-11 08:55:00,22:03,Fnatic,Cloud9,1,0,Fnatic,2015
Worlds 2015,WCS,2015-10-11 09:58:00,28:16,ahq eSports Club,Cloud9,1,0,ahq eSports Club,2015
Worlds 2015,WCS,2015-10-11 10:42:00,25:25,Invictus Gaming,Fnatic,0,1,Fnatic,2015
Worlds 2015,WCS,2015-10-11 11:32:00,46:46,Cloud9,Invictus Gaming,0,1,Invictus Gaming,2015
Worlds 2015,WCS,2015-10-11 12:47:00,49:26,Fnatic,ahq eSports Club,1,0,Fnatic,2015
Worlds 2015,WCS,2015-10-11 14:12:00,33:09,Cloud9,ahq eSports Club,0,1,ahq eSports Club,2015
Worlds 2015,WCS,2015-10-15 15:43:00,44:42,Flash Wolves,Origen,0,1,Origen,2015
Worlds 2015,WCS,2015-10-15 17:15:00,40:05,Origen,Flash Wolves,2,0,Origen,2015
Worlds 2015,WCS,2015-10-15 18:20:00,40:49,Flash Wolves,Origen,1,2,Flash Wolves,2015
Worlds 2015,WCS,2015-10-15 19:24:00,40:32,Origen,Flash Wolves,3,1,Origen,2015
Worlds 2015,WCS,2015-10-16 15:34:00,34:14,SK Telecom T1,ahq eSports Club,1,0,SK Telecom T1,2015
Worlds 2015,WCS,2015-10-16 17:05:00,27:27,ahq eSports Club,SK Telecom T1,0,2,SK Telecom T1,2015
Worlds 2015,WCS,2015-10-16 17:55:00,43:30,SK Telecom T1,ahq eSports Club,3,0,SK Telecom T1,2015
Worlds 2015,WCS,2015-10-17 12:42:00,38:28,Fnatic,EDward Gaming,1,0,Fnatic,2015
Worlds 2015,WCS,2015-10-17 15:35:00,29:13,EDward Gaming,Fnatic,0,2,Fnatic,2015
Worlds 2015,WCS,2015-10-17 16:23:00,35:06,Fnatic,EDward Gaming,3,0,Fnatic,2015
Worlds 2015,WCS,2015-10-18 12:53:00,34:29,KT Rolster,KOO Tigers,1,0,KT Rolster,2015
Worlds 2015,WCS,2015-10-18 14:12:00,40:56,KOO Tigers,KT Rolster,1,1,KOO Tigers,2015
Worlds 2015,WCS,2015-10-18 15:15:00,33:16,KT Rolster,KOO Tigers,1,2,KOO Tigers,2015
Worlds 2015,WCS,2015-10-18 16:11:00,39:37,KOO Tigers,KT Rolster,3,1,KOO Tigers,2015
Worlds 2015,WCS,2015-10-24 14:00:00,43:29,SK Telecom T1,Origen,1,0,SK Telecom T1,2015
Worlds 2015,WCS,2015-10-24 15:26:00,36:32,Origen,SK Telecom T1,0,2,SK Telecom T1,2015
Worlds 2015,WCS,2015-10-24 16:26:00,25:58,SK Telecom T1,Origen,3,0,SK Telecom T1,2015
Worlds 2015,WCS,2015-10-25 11:27:00,43:24,Fnatic,KOO Tigers,0,1,KOO Tigers,2015
Worlds 2015,WCS,2015-10-25 14:19:00,45:09,KOO Tigers,Fnatic,2,0,KOO Tigers,2015
Worlds 2015,WCS,2015-10-25 15:36:00,30:35,Fnatic,KOO Tigers,0,3,KOO Tigers,2015
Worlds 2015,WCS,2015-10-31 10:56:00,42:41,SK Telecom T1,KOO Tigers,1,0,SK Telecom T1,2015
Worlds 2015,WCS,2015-10-31 12:50:00,38:15,KOO Tigers,SK Telecom T1,0,2,SK Telecom T1,2015
Worlds 2015,WCS,2015-10-31 13:50:00,37:50,SK Telecom T1,KOO Tigers,2,1,KOO Tigers,2015
Worlds 2015,WCS,2015-10-31 14:52:00,34:34,KOO Tigers,SK Telecom T1,1,3,SK Telecom T1,2015
Worlds 2016,WCS,2016-09-29 22:28:00,34:13,G2 Esports,Counter Logic Gaming,0,1,Counter Logic Gaming,2016
Worlds 2016,WCS,2016-09-30 00:20:00,27:36,ROX Tigers,Albus NoX Luna,1,0,ROX Tigers,2016
Worlds 2016,WCS,2016-09-30 01:15:00,47:11,H2k-Gaming,ahq eSports Club,0,1,ahq eSports Club,2016
Worlds 2016,WCS,2016-09-30 02:35:00,42:11,INTZ,EDward Gaming,1,0,INTZ,2016
Worlds 2016,WCS,2016-09-30 03:45:00,33:59,Samsung Galaxy,Splyce,1,0,Samsung Galaxy,2016
Worlds 2016,WCS,2016-09-30 05:32:00,37:02,TSM,Royal Never Give Up,0,1,Royal Never Give Up,2016
Worlds 2016,WCS,2016-09-30 22:00:00,34:10,SK Telecom T1,Cloud9,1,0,SK Telecom T1,2016
Worlds 2016,WCS,2016-09-30 23:59:00,47:19,Flash Wolves,I May,0,1,I May,2016
Worlds 2016,WCS,2016-10-01 01:12:00,33:57,TSM,Samsung Galaxy,1,0,TSM,2016
Worlds 2016,WCS,2016-10-01 02:17:00,25:32,Royal Never Give Up,Splyce,1,0,Royal Never Give Up,2016
Worlds 2016,WCS,2016-10-01 03:12:00,30:41,H2k-Gaming,INTZ,1,0,H2k-Gaming,2016
Worlds 2016,WCS,2016-10-01 04:06:00,41:01,EDward Gaming,ahq eSports Club,1,0,EDward Gaming,2016
Worlds 2016,WCS,2016-10-01 21:06:00,39:55,Counter Logic Gaming,Albus NoX Luna,0,1,Albus NoX Luna,2016
Worlds 2016,WCS,2016-10-01 23:58:00,43:39,ROX Tigers,G2 Esports,1,0,ROX Tigers,2016
Worlds 2016,WCS,2016-10-02 01:16:00,70:20,Flash Wolves,Cloud9,0,1,Cloud9,2016
Worlds 2016,WCS,2016-10-02 02:55:00,31:53,I May,SK Telecom T1,0,1,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-02 03:54:00,45:02,Splyce,TSM,0,1,TSM,2016
Worlds 2016,WCS,2016-10-02 05:02:00,32:18,Royal Never Give Up,Samsung Galaxy,0,1,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-02 21:59:00,35:14,ahq eSports Club,INTZ,1,0,ahq eSports Club,2016
Worlds 2016,WCS,2016-10-02 23:57:00,37:57,EDward Gaming,H2k-Gaming,1,0,EDward Gaming,2016
Worlds 2016,WCS,2016-10-03 01:01:00,40:24,Albus NoX Luna,G2 Esports,1,0,Albus NoX Luna,2016
Worlds 2016,WCS,2016-10-03 02:09:00,36:34,Counter Logic Gaming,ROX Tigers,1,0,Counter Logic Gaming,2016
Worlds 2016,WCS,2016-10-03 03:39:00,41:36,SK Telecom T1,Flash Wolves,0,1,Flash Wolves,2016
Worlds 2016,WCS,2016-10-03 04:26:00,38:37,Cloud9,I May,1,0,Cloud9,2016
Worlds 2016,WCS,2016-10-06 22:55:00,35:24,G2 Esports,ROX Tigers,0,1,ROX Tigers,2016
Worlds 2016,WCS,2016-10-06 23:58:00,30:02,Albus NoX Luna,Counter Logic Gaming,1,0,Albus NoX Luna,2016
Worlds 2016,WCS,2016-10-07 00:53:00,36:17,Counter Logic Gaming,G2 Esports,1,0,Counter Logic Gaming,2016
Worlds 2016,WCS,2016-10-07 02:05:00,66:20,Albus NoX Luna,ROX Tigers,1,0,Albus NoX Luna,2016
Worlds 2016,WCS,2016-10-07 03:28:00,36:42,G2 Esports,Albus NoX Luna,1,0,G2 Esports,2016
Worlds 2016,WCS,2016-10-07 04:30:00,37:46,ROX Tigers,Counter Logic Gaming,1,0,ROX Tigers,2016
Worlds 2016,WCS,2016-10-07 05:36:00,29:22,ROX Tigers,Albus NoX Luna,1,0,ROX Tigers,2016
Worlds 2016,WCS,2016-10-07 22:51:00,34:41,EDward Gaming,INTZ,1,0,EDward Gaming,2016
Worlds 2016,WCS,2016-10-07 23:58:00,41:42,ahq eSports Club,H2k-Gaming,0,1,H2k-Gaming,2016
Worlds 2016,WCS,2016-10-08 01:03:00,44:57,H2k-Gaming,EDward Gaming,1,0,H2k-Gaming,2016
Worlds 2016,WCS,2016-10-08 02:13:00,28:29,INTZ,ahq eSports Club,0,1,ahq eSports Club,2016
Worlds 2016,WCS,2016-10-08 03:03:00,29:16,INTZ,H2k-Gaming,0,1,H2k-Gaming,2016
Worlds 2016,WCS,2016-10-08 03:56:00,46:55,ahq eSports Club,EDward Gaming,0,1,EDward Gaming,2016
Worlds 2016,WCS,2016-10-08 05:17:00,44:52,H2k-Gaming,EDward Gaming,1,0,H2k-Gaming,2016
Worlds 2016,WCS,2016-10-08 19:03:00,45:11,Samsung Galaxy,TSM,1,0,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-08 21:04:00,36:15,Splyce,Royal Never Give Up,1,0,Splyce,2016
Worlds 2016,WCS,2016-10-08 22:05:00,28:35,TSM,Splyce,1,0,TSM,2016
Worlds 2016,WCS,2016-10-08 22:56:00,23:53,Samsung Galaxy,Royal Never Give Up,1,0,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-08 23:42:00,23:42,Splyce,Samsung Galaxy,0,1,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-09 00:25:00,36:52,Royal Never Give Up,TSM,1,0,Royal Never Give Up,2016
Worlds 2016,WCS,2016-10-09 18:59:00,41:11,I May,Flash Wolves,1,0,I May,2016
Worlds 2016,WCS,2016-10-09 20:59:00,50:10,Cloud9,SK Telecom T1,0,1,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-09 22:16:00,39:48,Cloud9,Flash Wolves,0,1,Flash Wolves,2016
Worlds 2016,WCS,2016-10-09 23:23:00,45:27,SK Telecom T1,I May,1,0,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-10 00:34:00,51:07,I May,Cloud9,0,1,Cloud9,2016
Worlds 2016,WCS,2016-10-10 01:49:00,39:51,Flash Wolves,SK Telecom T1,0,1,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-13 21:50:00,27:31,Samsung Galaxy,Cloud9,1,0,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-13 22:55:00,38:01,Cloud9,Samsung Galaxy,0,2,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-14 00:00:00,39:48,Samsung Galaxy,Cloud9,3,0,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-14 21:42:00,47:00,SK Telecom T1,Royal Never Give Up,0,1,Royal Never Give Up,2016
Worlds 2016,WCS,2016-10-14 23:21:00,43:06,Royal Never Give Up,SK Telecom T1,1,1,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-15 00:31:00,30:12,SK Telecom T1,Royal Never Give Up,2,1,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-15 01:30:00,30:43,Royal Never Give Up,SK Telecom T1,1,3,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-15 21:21:00,35:44,ROX Tigers,EDward Gaming,1,0,ROX Tigers,2016
Worlds 2016,WCS,2016-10-15 23:04:00,26:08,EDward Gaming,ROX Tigers,0,2,ROX Tigers,2016
Worlds 2016,WCS,2016-10-15 23:54:00,34:48,ROX Tigers,EDward Gaming,2,1,EDward Gaming,2016
Worlds 2016,WCS,2016-10-16 00:51:00,32:34,EDward Gaming,ROX Tigers,1,3,ROX Tigers,2016
Worlds 2016,WCS,2016-10-16 21:39:00,34:44,H2k-Gaming,Albus NoX Luna,1,0,H2k-Gaming,2016
Worlds 2016,WCS,2016-10-16 23:07:00,23:38,Albus NoX Luna,H2k-Gaming,0,2,H2k-Gaming,2016
Worlds 2016,WCS,2016-10-16 23:56:00,34:52,H2k-Gaming,Albus NoX Luna,3,0,H2k-Gaming,2016
Worlds 2016,WCS,2016-10-21 21:50:00,43:36,ROX Tigers,SK Telecom T1,0,1,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-21 23:13:00,33:22,SK Telecom T1,ROX Tigers,1,1,ROX Tigers,2016
Worlds 2016,WCS,2016-10-22 00:13:00,39:20,ROX Tigers,SK Telecom T1,2,1,ROX Tigers,2016
Worlds 2016,WCS,2016-10-22 01:14:00,42:57,SK Telecom T1,ROX Tigers,2,2,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-22 02:23:00,42:28,ROX Tigers,SK Telecom T1,2,3,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-22 20:50:00,39:21,Samsung Galaxy,H2k-Gaming,1,0,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-22 23:12:00,34:28,H2k-Gaming,Samsung Galaxy,0,2,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-23 00:06:00,26:45,Samsung Galaxy,H2k-Gaming,3,0,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-29 21:53:00,54:41,Samsung Galaxy,SK Telecom T1,0,1,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-30 00:32:00,31:26,SK Telecom T1,Samsung Galaxy,2,0,SK Telecom T1,2016
Worlds 2016,WCS,2016-10-30 01:31:00,71:20,Samsung Galaxy,SK Telecom T1,1,2,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-30 03:04:00,46:01,SK Telecom T1,Samsung Galaxy,2,2,Samsung Galaxy,2016
Worlds 2016,WCS,2016-10-30 04:13:00,49:11,Samsung Galaxy,SK Telecom T1,2,3,SK Telecom T1,2016
Worlds 2017 Play-In,WCS,2017-09-23 05:02:00,47:10,Team WE,Lyon Gaming (2013 Latin American Team),1,0,Team WE,2017
Worlds 2017 Play-In,WCS,2017-09-23 06:27:00,30:15,Cloud9,Team oNe eSports,1,0,Cloud9,2017
Worlds 2017 Play-In,WCS,2017-09-23 07:25:00,33:23,Gambit Esports,Lyon Gaming (2013 Latin American Team),0,1,Lyon Gaming (2013 Latin American Team),2017
Worlds 2017 Play-In,WCS,2017-09-23 08:24:00,27:51,Dire Wolves,Cloud9,0,1,Cloud9,2017
Worlds 2017 Play-In,WCS,2017-09-23 09:16:00,29:21,Gambit Esports,Team WE,0,1,Team WE,2017
Worlds 2017 Play-In,WCS,2017-09-23 10:15:00,25:20,Dire Wolves,Team oNe eSports,1,0,Dire Wolves,2017
Worlds 2017 Play-In,WCS,2017-09-24 04:44:00,22:15,Team oNe eSports,Cloud9,0,1,Cloud9,2017
Worlds 2017 Play-In,WCS,2017-09-24 05:47:00,40:04,Lyon Gaming (2013 Latin American Team),Team WE,0,1,Team WE,2017
Worlds 2017 Play-In,WCS,2017-09-24 06:50:00,25:51,Cloud9,Dire Wolves,1,0,Cloud9,2017
Worlds 2017 Play-In,WCS,2017-09-24 07:38:00,35:19,Lyon Gaming (2013 Latin American Team),Gambit Esports,1,0,Lyon Gaming (2013 Latin American Team),2017
Worlds 2017 Play-In,WCS,2017-09-24 08:39:00,37:33,Team oNe eSports,Dire Wolves,1,0,Team oNe eSports,2017
Worlds 2017 Play-In,WCS,2017-09-24 09:36:00,23:27,Team WE,Gambit Esports,1,0,Team WE,2017
Worlds 2017 Play-In,WCS,2017-09-24 10:23:00,29:26,Dire Wolves,Team oNe eSports,0,1,Team oNe eSports,2017
Worlds 2017 Play-In,WCS,2017-09-25 04:44:00,38:46,Young Generation,Kaos Latin Gamers,0,1,Kaos Latin Gamers,2017
Worlds 2017 Play-In,WCS,2017-09-25 06:15:00,25:32,Rampage,Hong Kong Attitude,0,1,Hong Kong Attitude,2017
Worlds 2017 Play-In,WCS,2017-09-25 07:06:00,24:52,Fnatic,Kaos Latin Gamers,1,0,Fnatic,2017
Worlds 2017 Play-In,WCS,2017-09-25 07:54:00,50:06,Hong Kong Attitude,Fenerbahçe Esports,0,1,Fenerbahçe Esports,2017
Worlds 2017 Play-In,WCS,2017-09-25 09:28:00,52:18,Young Generation,Fnatic,0,1,Fnatic,2017
Worlds 2017 Play-In,WCS,2017-09-25 11:17:00,26:48,Rampage,Fenerbahçe Esports,0,1,Fenerbahçe Esports,2017
Worlds 2017 Play-In,WCS,2017-09-26 04:44:00,26:27,Hong Kong Attitude,Rampage,1,0,Hong Kong Attitude,2017
Worlds 2017 Play-In,WCS,2017-09-26 05:48:00,30:08,Kaos Latin Gamers,Young Generation,0,1,Young Generation,2017
Worlds 2017 Play-In,WCS,2017-09-26 06:40:00,35:45,Fenerbahçe Esports,Rampage,1,0,Fenerbahçe Esports,2017
Worlds 2017 Play-In,WCS,2017-09-26 07:40:00,26:46,Kaos Latin Gamers,Fnatic,0,1,Fnatic,2017
Worlds 2017 Play-In,WCS,2017-09-26 08:30:00,46:05,Fenerbahçe Esports,Hong Kong Attitude,0,1,Hong Kong Attitude,2017
Worlds 2017 Play-In,WCS,2017-09-26 09:37:00,32:04,Fnatic,Young Generation,0,1,Young Generation,2017
Worlds 2017 Play-In,WCS,2017-09-26 10:33:00,46:55,Hong Kong Attitude,Fenerbahçe Esports,0,1,Fenerbahçe Esports,2017
Worlds 2017 Play-In,WCS,2017-09-28 02:55:00,24:47,Cloud9,Lyon Gaming (2013 Latin American Team),1,0,Cloud9,2017
Worlds 2017 Play-In,WCS,2017-09-28 03:50:00,61:49,Lyon Gaming (2013 Latin American Team),Cloud9,0,2,Cloud9,2017
Worlds 2017 Play-In,WCS,2017-09-28 05:13:00,27:35,Cloud9,Lyon Gaming (2013 Latin American Team),3,0,Cloud9,2017
Worlds 2017 Play-In,WCS,2017-09-28 06:08:00,34:06,Fnatic,Hong Kong Attitude,1,0,Fnatic,2017
Worlds 2017 Play-In,WCS,2017-09-28 07:07:00,29:01,Fnatic,Hong Kong Attitude,2,0,Fnatic,2017
Worlds 2017 Play-In,WCS,2017-09-28 07:59:00,35:30,Fnatic,Hong Kong Attitude,3,0,Fnatic,2017
Worlds 2017 Play-In,WCS,2017-09-29 02:42:00,28:36,Fenerbahçe Esports,Team oNe eSports,1,0,Fenerbahçe Esports,2017
Worlds 2017 Play-In,WCS,2017-09-29 03:51:00,38:11,Team oNe eSports,Fenerbahçe Esports,1,1,Team oNe eSports,2017
Worlds 2017 Play-In,WCS,2017-09-29 04:49:00,42:22,Fenerbahçe Esports,Team oNe eSports,2,1,Fenerbahçe Esports,2017
Worlds 2017 Play-In,WCS,2017-09-29 05:57:00,26:42,Fenerbahçe Esports,Team oNe eSports,3,1,Fenerbahçe Esports,2017
Worlds 2017 Play-In,WCS,2017-09-29 06:52:00,25:20,Team WE,Young Generation,1,0,Team WE,2017
Worlds 2017 Play-In,WCS,2017-09-29 07:43:00,32:25,Young Generation,Team WE,0,2,Team WE,2017
Worlds 2017 Play-In,WCS,2017-09-29 08:37:00,26:18,Team WE,Young Generation,3,0,Team WE,2017
Worlds 2017 Main Event,WCS,2017-10-05 06:47:00,38:45,Royal Never Give Up,Fenerbahçe Esports,1,0,Royal Never Give Up,2017
Worlds 2017 Main Event,WCS,2017-10-05 08:15:00,27:39,G2 Esports,Samsung Galaxy,0,1,Samsung Galaxy,2017
Worlds 2017 Main Event,WCS,2017-10-05 09:09:00,30:03,Longzhu Gaming,Immortals,1,0,Longzhu Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-05 10:07:00,24:12,Fnatic,GIGABYTE Marines,0,1,GIGABYTE Marines,2017
Worlds 2017 Main Event,WCS,2017-10-05 10:56:00,26:48,SK Telecom T1,Cloud9,1,0,SK Telecom T1,2017
Worlds 2017 Main Event,WCS,2017-10-05 11:50:00,53:57,EDward Gaming,ahq eSports Club,0,1,ahq eSports Club,2017
Worlds 2017 Main Event,WCS,2017-10-06 06:54:00,53:59,Flash Wolves,TSM,0,1,TSM,2017
Worlds 2017 Main Event,WCS,2017-10-06 08:22:00,26:55,Team WE,Misfits Gaming,1,0,Team WE,2017
Worlds 2017 Main Event,WCS,2017-10-06 09:19:00,50:46,Immortals,Fnatic,1,0,Immortals,2017
Worlds 2017 Main Event,WCS,2017-10-06 10:33:00,23:59,Longzhu Gaming,GIGABYTE Marines,1,0,Longzhu Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-06 11:19:00,31:30,ahq eSports Club,Cloud9,0,1,Cloud9,2017
Worlds 2017 Main Event,WCS,2017-10-06 12:12:00,44:19,EDward Gaming,SK Telecom T1,0,1,SK Telecom T1,2017
Worlds 2017 Main Event,WCS,2017-10-07 06:46:00,34:18,TSM,Team WE,1,0,TSM,2017
Worlds 2017 Main Event,WCS,2017-10-07 07:56:00,46:47,Flash Wolves,Misfits Gaming,0,1,Misfits Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-07 09:08:00,32:03,G2 Esports,Fenerbahçe Esports,1,0,G2 Esports,2017
Worlds 2017 Main Event,WCS,2017-10-07 10:03:00,27:34,Samsung Galaxy,Royal Never Give Up,0,1,Royal Never Give Up,2017
Worlds 2017 Main Event,WCS,2017-10-07 10:55:00,39:22,SK Telecom T1,ahq eSports Club,1,0,SK Telecom T1,2017
Worlds 2017 Main Event,WCS,2017-10-07 11:57:00,38:28,Cloud9,EDward Gaming,1,0,Cloud9,2017
Worlds 2017 Main Event,WCS,2017-10-08 06:44:00,32:25,Team WE,Flash Wolves,1,0,Team WE,2017
Worlds 2017 Main Event,WCS,2017-10-08 07:54:00,45:18,Misfits Gaming,TSM,1,0,Misfits Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-08 09:12:00,39:51,GIGABYTE Marines,Immortals,0,1,Immortals,2017
Worlds 2017 Main Event,WCS,2017-10-08 10:13:00,20:52,Fnatic,Longzhu Gaming,0,1,Longzhu Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-08 10:57:00,48:02,Fenerbahçe Esports,Samsung Galaxy,0,1,Samsung Galaxy,2017
Worlds 2017 Main Event,WCS,2017-10-08 12:07:00,44:10,Royal Never Give Up,G2 Esports,1,0,Royal Never Give Up,2017
Worlds 2017 Main Event,WCS,2017-10-12 03:38:00,32:00,Immortals,GIGABYTE Marines,0,1,GIGABYTE Marines,2017
Worlds 2017 Main Event,WCS,2017-10-12 04:53:00,31:52,Longzhu Gaming,Fnatic,1,0,Longzhu Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-12 05:47:00,37:49,Fnatic,Immortals,1,0,Fnatic,2017
Worlds 2017 Main Event,WCS,2017-10-12 06:46:00,48:00,GIGABYTE Marines,Longzhu Gaming,0,1,Longzhu Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-12 07:58:00,30:26,GIGABYTE Marines,Fnatic,0,1,Fnatic,2017
Worlds 2017 Main Event,WCS,2017-10-12 08:52:00,50:59,Immortals,Longzhu Gaming,0,1,Longzhu Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-12 10:08:00,27:42,Fnatic,Immortals,1,0,Fnatic,2017
Worlds 2017 Main Event,WCS,2017-10-12 10:59:00,43:09,GIGABYTE Marines,Fnatic,0,1,Fnatic,2017
Worlds 2017 Main Event,WCS,2017-10-13 03:40:00,27:27,G2 Esports,Royal Never Give Up,1,0,G2 Esports,2017
Worlds 2017 Main Event,WCS,2017-10-13 04:49:00,33:51,Samsung Galaxy,Fenerbahçe Esports,1,0,Samsung Galaxy,2017
Worlds 2017 Main Event,WCS,2017-10-13 05:45:00,44:29,Samsung Galaxy,G2 Esports,1,0,Samsung Galaxy,2017
Worlds 2017 Main Event,WCS,2017-10-13 07:06:00,26:09,Fenerbahçe Esports,Royal Never Give Up,0,1,Royal Never Give Up,2017
Worlds 2017 Main Event,WCS,2017-10-13 07:55:00,52:21,Fenerbahçe Esports,G2 Esports,0,1,G2 Esports,2017
Worlds 2017 Main Event,WCS,2017-10-13 09:15:00,32:37,Royal Never Give Up,Samsung Galaxy,1,0,Royal Never Give Up,2017
Worlds 2017 Main Event,WCS,2017-10-14 03:25:00,40:42,Misfits Gaming,Flash Wolves,1,0,Misfits Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-14 05:04:00,24:12,Team WE,TSM,1,0,Team WE,2017
Worlds 2017 Main Event,WCS,2017-10-14 05:53:00,27:20,Flash Wolves,Team WE,0,1,Team WE,2017
Worlds 2017 Main Event,WCS,2017-10-14 06:42:00,39:56,TSM,Misfits Gaming,1,0,TSM,2017
Worlds 2017 Main Event,WCS,2017-10-14 07:47:00,24:26,TSM,Flash Wolves,0,1,Flash Wolves,2017
Worlds 2017 Main Event,WCS,2017-10-14 08:37:00,44:04,Misfits Gaming,Team WE,0,1,Team WE,2017
Worlds 2017 Main Event,WCS,2017-10-14 09:46:00,30:39,Misfits Gaming,TSM,1,0,Misfits Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-15 03:54:00,37:35,ahq eSports Club,SK Telecom T1,1,0,ahq eSports Club,2017
Worlds 2017 Main Event,WCS,2017-10-15 04:58:00,35:05,EDward Gaming,Cloud9,1,0,EDward Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-15 05:56:00,24:27,ahq eSports Club,EDward Gaming,0,1,EDward Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-15 06:45:00,39:03,Cloud9,SK Telecom T1,0,1,SK Telecom T1,2017
Worlds 2017 Main Event,WCS,2017-10-15 07:47:00,24:09,Cloud9,ahq eSports Club,1,0,Cloud9,2017
Worlds 2017 Main Event,WCS,2017-10-15 08:36:00,38:20,SK Telecom T1,EDward Gaming,1,0,SK Telecom T1,2017
Worlds 2017 Main Event,WCS,2017-10-19 07:40:00,44:32,Longzhu Gaming,Samsung Galaxy,0,1,Samsung Galaxy,2017
Worlds 2017 Main Event,WCS,2017-10-19 09:17:00,29:45,Longzhu Gaming,Samsung Galaxy,0,2,Samsung Galaxy,2017
Worlds 2017 Main Event,WCS,2017-10-19 10:10:00,33:56,Samsung Galaxy,Longzhu Gaming,3,0,Samsung Galaxy,2017
Worlds 2017 Main Event,WCS,2017-10-20 05:14:00,25:16,SK Telecom T1,Misfits Gaming,1,0,SK Telecom T1,2017
Worlds 2017 Main Event,WCS,2017-10-20 08:54:00,26:16,Misfits Gaming,SK Telecom T1,1,1,Misfits Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-20 09:42:00,40:38,SK Telecom T1,Misfits Gaming,1,2,Misfits Gaming,2017
Worlds 2017 Main Event,WCS,2017-10-20 10:48:00,37:27,Misfits Gaming,SK Telecom T1,2,2,SK Telecom T1,2017
Worlds 2017 Main Event,WCS,2017-10-20 11:47:00,37:47,SK Telecom T1,Misfits Gaming,3,2,SK Telecom T1,2017
Worlds 2017 Main Event,WCS,2017-10-21 07:40:00,43:16,Fnatic,Royal Never Give Up,0,1,Royal Never Give Up,2017
Worlds 2017 Main Event,WCS,2017-10-21 09:10:00,44:51,Fnatic,Royal Never Give Up,0,2,Royal Never Give Up,2017
Worlds 2017 Main Event,WCS,2017-10-21 10:24:00,54:49,Fnatic,Royal Never Give Up,1,2,Fnatic,2017
Worlds 2017 Main Event,WCS,2017-10-21 11:41:00,40:12,Fnatic,Royal Never Give Up,1,3,Royal Never Give Up,2017
Worlds 2017 Main Event,WCS,2017-10-22 05:01:00,54:10,Team WE,Cloud9,1,0,Team WE,2017
Worlds 2017 Main Event,WCS,2017-10-22 09:25:00,32:02,Cloud9,Team WE,1,1,Cloud9,2017
Worlds 2017 Main Event,WCS,2017-10-22 10:19:00,24:56,Team WE,Cloud9,1,2,Cloud9,2017
Worlds 2017 Main Event,WCS,2017-10-22 11:06:00,33:11,Cloud9,Team WE,2,2,Team WE,2017
