,Team,ID,Nationality,Country,Birthdate,Region,Short
3838,Illuminar Gaming,VoV,,Poland,,EMEA,IHG
3839,Immortals,Bolulu,"Sweden,Turkey",Sweden,,North America,IMT
3840,Immortals,Dayos,"Canada,Philippines",Canada,,North America,IMT
3841,Immortals,Draxyr,,United States,2000-12-02,North America,IMT
3842,Immortals,Joey,,United States,1998-10-21,North America,IMT
3843,Immortals,Kenvi,,Philippines,2002-10-09,North America,IMT
3844,Immortals,Mabrey,,United States,1994-06-18,North America,IMT
3845,Immortals,Parth,,United States,1989-12-05,North America,IMT
3846,Immortals,Robert Yip,,Republic of Ireland,,North America,IMT
3847,Immortals,Solo,,United States,1993-05-26,North America,IMT
3848,Immortals,Stxrm,,Malta,,North America,IMT
3849,Immortals,Tactical,,United States,2000-08-18,North America,IMT
3850,Immortals,Tonington,,United States,1995-12-18,North America,IMT
3851,Immortals,Treatz,,Sweden,1996-04-30,North America,IMT
3852,Immortals,Xmithie,"Philippines,United States",Philippines,1991-05-10,North America,IMT
3853,Impunity,Alex,,Taiwan,2000-01-22,PCS,IMP
3854,Impunity,An,,Taiwan,1994-10-20,PCS,IMP
3855,Impunity,Atlen,,Taiwan,1999-09-11,PCS,IMP
3856,Impunity,Driver,,Taiwan,2002-04-04,PCS,IMP
3857,Impunity,Mission,,Taiwan,1995-09-28,PCS,IMP
3858,Impunity,Natur3,,Taiwan,,PCS,IMP
3859,Impunity,Taizan,,Taiwan,1996-05-03,PCS,IMP
3860,Incubus,Borda,,Peru,,Latin America,INC
3861,Incubus,Dinastik,,Chile,2001-10-09,Latin America,INC
3862,Incubus,Letoñe,,Peru,,Latin America,INC
3863,Infernal Void,Shir0,,Germany,,EMEA,IV
3864,INFINITY,5kid,,South Korea,1999-11-28,Latin America,INF
3865,INFINITY,Ackerman,,Argentina,2002-11-29,Latin America,INF
3866,INFINITY,Arce,,Peru,,Latin America,INF
3867,INFINITY,Caveira,,Costa Rica,1999-09-17,Latin America,INF
3868,INFINITY,Dye,,Colombia,,Latin America,INF
3869,INFINITY,EliasGG,,Costa Rica,1994-11-18,Latin America,INF
3870,INFINITY,Falco,,Spain,1994-06-24,Latin America,INF
3871,INFINITY,Keine,,South Korea,1999-11-08,Latin America,INF
3872,INFINITY,PapiSosa,,Mexico,,Latin America,INF
3873,INFINITY,Relic,,Venezuela,1994-10-11,Latin America,INF
3874,INFINITY,SolidSnake,,Peru,1998-08-10,Latin America,INF
3875,INFINITY,Zindana,,Costa Rica,1995-06-24,Latin America,INF
3876,INFINITY,ZO3N,,Argentina,,Latin America,INF
3877,Inside Games,Bobsik,,Czech Republic,,EMEA,ING
3878,Inside Games,Kizuro,,Czech Republic,,EMEA,ING
3879,Inside Games,Marco,"Italy,Czech Republic",Italy,,EMEA,ING
3880,Inside Games,Promise0,,Czech Republic,,EMEA,ING
3881,Inside Games,Scuffed,,Denmark,2002-09-29,EMEA,ING
3882,Inside Games,Shyelander,,Spain,2000-04-21,EMEA,ING
3883,Inside Games,Skośny,,Poland,,EMEA,ING
3884,Intel New Indians,Notorious Piero,,Argentina,,Latin America,NEW
3885,Intrepid Fox Gaming,Tiesel,,Greece,,Europe,IF
3886,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
3887,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
3888,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
3889,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
3890,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
3891,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
3892,INTZ,Strazzi,,Brazil,,Brazil,ITZ
3893,INTZ,Thominhas,,,,Brazil,ITZ
3894,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
3895,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
3896,INTZ Academy,Blacky,,Brazil,2000-04-22,Brazil,ITZ.A
3897,INTZ Academy,Eradan,,Brazil,1999-06-28,Brazil,ITZ.A
3898,INTZ Academy,Juzo,,Brazil,2000-04-29,Brazil,ITZ.A
3899,INTZ Academy,Khorn,,Brazil,,Brazil,ITZ.A
3900,INTZ Academy,Kuma,,Brazil,,Brazil,ITZ.A
3901,INTZ Academy,Look,,Brazil,,Brazil,ITZ.A
3902,INTZ Academy,Paclo,"South Korea,Brazil",Brazil,2003-03-15,Brazil,ITZ.A
3903,INTZ Academy,Tatu,,Brazil,2006-06-13,Brazil,ITZ.A
3904,Invictus Gaming,Ahn,,China,2001-03-15,China,iG
3905,Invictus Gaming,beishang,,China,2000-10-15,China,iG
3906,Invictus Gaming,Cryin,,China,2000-11-05,China,iG
3907,Invictus Gaming,Dove,,South Korea,1998-07-25,China,iG
3908,Invictus Gaming,Guokui,,China,1997-11-28,China,iG
3909,Invictus Gaming,neny,,China,2003-09-28,China,iG
3910,Invictus Gaming,Rashomon,,China,,China,iG
3911,Invictus Gaming,Renzhe,,China,,China,iG
3912,Invictus Gaming,Tianzhen,,China,2004-09-13,China,iG
3913,Invictus Gaming,Wen,,China,,China,iG
3914,Invictus Gaming,Wink,,China,1999-11-02,China,iG
3915,Invictus Gaming,WXZ,,China,1988-01-03,China,iG
3916,Invictus Gaming,xiaoyueji,,China,2002-12-12,China,iG
3917,Invictus Gaming,YSKM,,Hong Kong,2004-02-11,China,iG
3918,Invictus Gaming Young,Hoshisora,,China,,China,IGY
3919,Invictus Gaming Young,Ke,,China,1998-11-28,China,IGY
3920,Invictus Gaming Young,Liweier,,China,,China,IGY
3921,Invictus Gaming Young,MG,,South Korea,2002-06-03,China,IGY
3922,Invictus Gaming Young,pisces,,China,,China,IGY
3923,Invictus Gaming Young,taugh,,China,,China,IGY
3924,Invictus Gaming Young,WuNai,,China,,China,IGY
3925,Invulnerables Esports,Hellish,Sweden,Lithuania,2001-05-26,EMEA,INV
3926,Invulnerables Esports,MKL,,Denmark,,EMEA,INV
3927,Invulnerables Esports,NoDu,,Sweden,,EMEA,INV
3928,Invulnerables Esports,ThePoodleHorse,,Sweden,,EMEA,INV
3929,Ionikos Nikaias Esports,Ivok,,Cyprus,2001-07-17,EMEA,INE
3930,Ionikos Nikaias Esports,Jhinsane,,Netherlands,1999-10-10,EMEA,INE
3931,Ionikos Nikaias Esports,Kritias,,Germany,2001-04-10,EMEA,INE
3932,Ionikos Nikaias Esports,Nasut,,Poland,,EMEA,INE
3933,Ionikos Nikaias Esports,SHXDXW,,Germany,,EMEA,INE
3934,Ionikos Nikaias Esports,Sirap,,Greece,1999-06-10,EMEA,INE
3935,Ionikos Nikaias Esports,SnK,,Greece,,EMEA,INE
3936,Ionikos Nikaias Esports,Varsos,"Angola,Greece,Portugal",Greece,,EMEA,INE
3937,Iron Wolves,ChosenOne,,Lithuania,,EMEA,WOLF
3938,Iron Wolves,Hades,,Greece,2000-07-28,EMEA,WOLF
3939,Iron Wolves,HeSSZero,,Poland,2004-02-23,EMEA,WOLF
3940,Iron Wolves,Jaunatis,,Lithuania,1998-12-12,EMEA,WOLF
3941,Iron Wolves,M0NK,,Estonia,1997-08-19,EMEA,WOLF
3942,Iron Wolves,Saulius,,Lithuania,1997-04-02,EMEA,WOLF
3943,Iron Wolves,Syzyfek,,Poland,2004-11-26,EMEA,WOLF
3944,Iron Wolves,zty,,Lithuania,,EMEA,WOLF
3945,Istanbul Wildcats,BAO,,South Korea,2001-09-20,EMEA,IW
3946,Istanbul Wildcats,Craft1x,,Turkey,,EMEA,IW
3947,Istanbul Wildcats,Destroy,,South Korea,2000-05-08,EMEA,IW
3948,Istanbul Wildcats,Ferret,,Turkey,2001-11-24,EMEA,IW
3949,Istanbul Wildcats,Kofte,,Turkey,,EMEA,IW
3950,Istanbul Wildcats,MBlastoise,,Turkey,,EMEA,IW
3951,Istanbul Wildcats,Parus,,Turkey,,EMEA,IW
3952,Isurus,Gavotto,,Mexico,,Latin America,ISG
3953,Isurus,Jelly,,South Korea,1997-10-18,Latin America,ISG
3954,Isurus,Kaze,,Argentina,2006-01-11,Latin America,ISG
3955,Isurus,KinG,,Argentina,2000-12-05,Latin America,ISG
3956,Isurus,Kouke,,Peru,1994-12-10,Latin America,ISG
3957,Isurus,Lady Mufa,,Argentina,,Latin America,ISG
3958,Isurus,Pan,,Argentina,,Latin America,ISG
3959,Isurus,qShiroo,,Mexico,,Latin America,ISG
3960,Isurus,Seize,,South Korea,2000-12-07,Latin America,ISG
3961,Isurus,Ukkyr,,Argentina,1990-01-30,Latin America,ISG
3962,Izi Dream,AsylumKubz,,Canada,1994-07-19,EMEA,IZI
3963,Izi Dream,Bung,,Austria,1999-10-31,EMEA,IZI
3964,Izi Dream,Djoko,,France,1997-03-01,EMEA,IZI
3965,Izi Dream,Kio,,Slovakia,2004-07-16,EMEA,IZI
3966,Izi Dream,Klaj,,Sweden,1996-01-30,EMEA,IZI
3967,Izi Dream,Nomanz,,Russia,1998-09-21,EMEA,IZI
3968,Izi Dream,Rafa,"Portugal,Spain",Portugal,,EMEA,IZI
3969,Izi Dream,Rayito,,Spain,,EMEA,IZI
3970,J Team,AnAn,,Taiwan,,PCS,JT
3971,J Team,Backstairs,,Taiwan,1984-01-27,PCS,JT
3972,J Team,BeBe,,Taiwan,1991-06-27,PCS,JT
3973,J Team,Bruce,,Taiwan,1998-06-16,PCS,JT
3974,J Team,Enso,,Taiwan,2001-07-18,PCS,JT
3975,J Team,Fung,,Hong Kong,2000-10-28,PCS,JT
3976,J Team,Lauva,,Taiwan,2000-03-19,PCS,JT
3977,J Team,Long,,Taiwan,,PCS,JT
3978,J Team,Minji,,Taiwan,2001-01-17,PCS,JT
3979,J Team,Prydz,,Taiwan,1988-02-29,PCS,JT
3980,J Team,RD,,Taiwan,1993-10-19,PCS,JT
3981,J Team,UDJ,,Taiwan,,PCS,JT
3982,J Team,Whale,,Taiwan,2001-05-20,PCS,JT
3983,J Team,Willy,,Taiwan,,PCS,JT
3984,J Team 2,Adiogs,,Taiwan,2003-07-10,LMS,JII
3985,J Team 2,Breaker,,Taiwan,1997-11-22,LMS,JII
3986,J Team 2,Maokee,,Taiwan,,LMS,JII
3987,Janus Esports,Chorla,,Mexico,,Latin America,JNS
3988,Janus Esports,Elokrix,,Venezuela,,Latin America,JNS
3989,Janus Esports,Feng,,Mexico,,Latin America,JNS
3990,Janus Esports,FleekZ,,Panama,,Latin America,JNS
3991,Janus Esports,Foxy,"Venezuela,Portugal",Venezuela,1999-02-16,Latin America,JNS
3992,Janus Esports,HAKA,,Mexico,,Latin America,JNS
3993,Janus Esports,Kuyo,,El Salvador,,Latin America,JNS
3994,Janus Esports,Manuelcap,,Uruguay,2000-05-17,Latin America,JNS
3995,Janus Esports,OscarBros,,Mexico,,Latin America,JNS
3996,Janus Esports,Shieldworm,,Colombia,2000-07-29,Latin America,JNS
3997,JD Gaming,369,,China,2001-07-12,China,JDG
3998,JD Gaming,Homme,,South Korea,1985-01-01,China,JDG
3999,JD Gaming,Huge,,China,,China,JDG
4000,JD Gaming,HunnyPark,,South Korea,,China,JDG
4001,JD Gaming,Kanavi,,South Korea,2000-11-02,China,JDG
4002,JD Gaming,knight,,China,2000-05-22,China,JDG
4003,JD Gaming,Lzq,,China,2004-08-23,China,JDG
4004,JD Gaming,Missing,,China,2001-05-26,China,JDG
4005,JD Gaming,Ruler,,South Korea,1998-12-29,China,JDG
4006,JD Gaming,Viod,,China,,China,JDG
4007,JD Gaming,Vusso,,China,,China,JDG
4008,Joblife,El Bardo,,France,,EMEA,JL
4009,Joblife,Godzilla,,France,,EMEA,JL
4010,Joblife,Koba,,France,2000-12-26,EMEA,JL
4011,Joblife,Nobreak,,France,,EMEA,JL
4012,Joblife,Nolan,,France,,EMEA,JL
4013,Joblife,Roi DEMON,,France,,EMEA,JL
4014,Joblife,Sleyer,,France,,EMEA,JL
4015,Joblife,Sorya,,France,,EMEA,JL
4016,Jörmungang,Astro Parsity,,Belgium,2002-03-11,EMEA,JMGG
4017,Jörmungang,Axo,,Belgium,1999-05-18,EMEA,JMGG
4018,Jörmungang,Dan,,Belgium,2002-03-16,EMEA,JMGG
4019,Jörmungang,Diouz,,France,,EMEA,JMGG
4020,Jörmungang,Druust,,Belgium,,EMEA,JMGG
4021,Jörmungang,Fush,,Belgium,2000-06-07,EMEA,JMGG
4022,Jörmungang,Ovale,,France,,EMEA,JMGG
4023,Jörmungang,Valyrian,,Belgium,1998-06-27,EMEA,JMGG
4024,Joy Dream,Deceit,,China,1997-07-31,China,JDM
4025,Joy Dream,Dorian,,China,,China,JDM
4026,Joy Dream,Keaiduo,,China,2001-05-11,China,JDM
4027,Joy Dream,Nimrod,,China,,China,JDM
4028,Joy Dream,pzx,,China,,China,JDM
4029,Joy Dream,Shaoye,,China,,China,JDM
4030,Joy Dream,Tong,,China,,China,JDM
4031,KaBuM! Academy,Dioge,,Brazil,,Brazil,KBM.A
4032,KaBuM! Academy,Doppler,,Brazil,,Brazil,KBM.A
4033,KaBuM! Academy,Guigs,,Brazil,,Brazil,KBM.A
4034,KaBuM! Academy,Samkz,,Brazil,2003-03-04,Brazil,KBM.A
4035,KaBuM! Academy,scary,,Brazil,,Brazil,KBM.A
4036,KaBuM! Academy,Scuro,,Brazil,,Brazil,KBM.A
4037,KaBuM! Academy,SuperCleber,,Brazil,,Brazil,KBM.A
4038,KaBuM! Esports,Disave,,Brazil,,Brazil,KBM
4039,KaBuM! Esports,Flawless,,South Korea,1998-07-26,Brazil,KBM
4040,KaBuM! Esports,Krastyel,,Brazil,1999-03-17,Brazil,KBM
4041,KaBuM! Esports,Lonely,,South Korea,2000-08-29,Brazil,KBM
4042,KaBuM! Esports,RAV3N,,Brazil,,Brazil,KBM
4043,KaBuM! Esports,RedBert,,Brazil,1998-08-26,Brazil,KBM
4044,KaBuM! Esports,Sickness,,South Korea,1993-09-14,Brazil,KBM
4045,KaBuM! Esports,Ti0ben,,Brazil,1996-07-13,Brazil,KBM
4046,Kanga Esports,1Blue,Australia,South Korea,,PCS,KNG
4047,Kanga Esports,fighto,,Russia,,PCS,KNG
4048,Kanga Esports,Jayke,,Australia,1996-04-17,PCS,KNG
4049,Kanga Esports,JuJo,,,,PCS,KNG
4050,Kanga Esports,Meifan,,Australia,,PCS,KNG
4051,Kanga Esports,Morg,,Australia,,PCS,KNG
4052,Kanga Esports,papryze,,Australia,,PCS,KNG
4053,Kanga Esports,Shinki,Cambodia,Australia,2002-01-01,PCS,KNG
4054,Kanga Esports,Voice,,Australia,,PCS,KNG
4055,Kanga Esports,Yueni,,Australia,,PCS,KNG
4056,KAOS e-sport,Accziz,,Norway,,EMEA,KAOS
4057,KAOS e-sport,Behner,,Norway,,EMEA,KAOS
4058,KAOS e-sport,Dipzey,,Norway,,EMEA,KAOS
4059,KAOS e-sport,KOOLBERG,,Norway,1996-02-10,EMEA,KAOS
4060,KAOS e-sport,lil ambivert,,Norway,,EMEA,KAOS
4061,KAOS e-sport,Sharp,,Norway,,EMEA,KAOS
4062,KAOS e-sport,Slemp,,Norway,,EMEA,KAOS
4063,KAOS e-sport,Zhandia,,Norway,1997-08-18,EMEA,KAOS
4064,KAOS e-sport,Zoophobias,,Norway,,EMEA,KAOS
4065,Karmine Corp,Cabochard,,France,1997-04-15,EMEA,KC
4066,Karmine Corp,Caliste,France,,2006-08-28,EMEA,KC
4067,Karmine Corp,Cinkrof,,Poland,1997-08-09,EMEA,KC
4068,Karmine Corp,Saken,,France,1998-11-05,EMEA,KC
4069,Karmine Corp,Skeanz,,France,2000-09-25,EMEA,KC
4070,Karmine Corp,Targamas,,Belgium,2000-06-30,EMEA,KC
4071,Karmine Corp,Wadi,,France,,EMEA,KC
4072,Karolinerna,BAASHH,,Denmark,,EMEA,K5
4073,Karolinerna,Cuddiee,,Sweden,,EMEA,K5
4074,Karolinerna,Floopz,,Sweden,,EMEA,K5
4075,Karolinerna,Kobben,,Sweden,,EMEA,K5
4076,Karolinerna,Thomas Goh,,Denmark,,EMEA,K5
4077,Kaufland Hangry Knights,Dimxa,Russia,Germany,2003-08-20,EMEA,KHK
4078,Kaufland Hangry Knights,Flay,,Germany,,EMEA,KHK
4079,Kaufland Hangry Knights,InDeed,,Germany,1999-09-06,EMEA,KHK
4080,Kaufland Hangry Knights,Jaeger,,Germany,1996-06-23,EMEA,KHK
4081,Kaufland Hangry Knights,jokaa,,Germany,2002-07-06,EMEA,KHK
4082,Kaufland Hangry Knights,TLamp,,Germany,,EMEA,KHK
4083,Kawaii Kiwis,Dani,,Spain,,EMEA,KWK
4084,Kawaii Kiwis,Emvipi,,Spain,,EMEA,KWK
4085,Kawaii Kiwis,Infinity,,Spain,,EMEA,KWK
4086,Kawaii Kiwis,Kaii,,Spain,2004-07-08,EMEA,KWK
4087,Kawaii Kiwis,Macaquiño,Portugal,Spain,2003-07-30,EMEA,KWK
4088,Kawaii Kiwis,Rito,,Spain,,EMEA,KWK
4089,Kawaii Kiwis,selenex,,Spain,,EMEA,KWK
4090,Kawaii Kiwis,ThreaM,,Spain,1999-07-30,EMEA,KWK
4091,Keypulse Esports,Euler,,Honduras,,EMEA,KYP
4092,Keypulse Esports,Jackie,,Netherlands,2003-08-29,EMEA,KYP
4093,Keypulse Esports,Lyrokun,,Germany,,EMEA,KYP
4094,Keypulse Esports,Qu4rtzo,,Portugal,,EMEA,KYP
4095,Keypulse Esports,RapMonsters,,Portugal,,EMEA,KYP
4096,Keypulse Esports,Shieda,,United Kingdom,,EMEA,KYP
4097,Kings of the North,Ballack,,Mexico,,Latin America,KON
4098,Kings of the North,Dune,,Mexico,,Latin America,KON
4099,Kings of the North,Gnetic,,Mexico,,Latin America,KON
4100,Kings of the North,Kaldalis,,Guatemala,,Latin America,KON
4101,Kings of the North,Osito Felpuwu,,Costa Rica,,Latin America,KON
4102,KIT SC SmartWe,Akirei,,Germany,2001-07-02,EMEA,KIT
4103,KIT SC SmartWe,Corvus,,Germany,,EMEA,KIT
4104,KIT SC SmartWe,Hyosha,,Germany,,EMEA,KIT
4105,KIT SC SmartWe,Milkshake,,Germany,,EMEA,KIT
4106,KIT SC SmartWe,Veyytix,,Germany,,EMEA,KIT
4107,KIT SC White,GentlemanHero,,Germany,1996-07-08,EMEA,KIT.W
4108,KIT SC White,Redeemed,,Germany,,EMEA,KIT.W
4109,KIT SC White,Striker,,Germany,1996-07-08,EMEA,KIT.W
4110,KIT SC White,Taewang,,Germany,,EMEA,KIT.W
4111,Klanik Esport,Axelent,,North Macedonia,2004-05-14,EMEA,KE
4112,Klanik Esport,Pesho,,North Macedonia,,EMEA,KE
4113,Klanik Esport,Praevius,"United Kingdom,Wales",United Kingdom,1999-07-23,EMEA,KE
4114,Klanik Esport,Renewal,,France,,EMEA,KE
4115,Klanik Esport,Wixo,,France,,EMEA,KE
4116,Klanik Esport,Wylenz,,France,,EMEA,KE
4117,KmK eSports,hextasy,,Hungary,1995-12-27,EMEA,KmK
4118,KmK eSports,Matebuff,,Hungary,1999-09-26,EMEA,KmK
4119,KODE Gaming,Fool,,Spain,,EMEA,KODE
4120,KODE Gaming,Garvi,,Spain,,EMEA,KODE
4121,KODE Gaming,Junco,,Spain,,EMEA,KODE
4122,KODE Gaming,Stargazer,,Spain,,EMEA,KODE
4123,KODE Gaming,TEMPAH,,Spain,,EMEA,KODE
4124,KODE Gaming,Usurper,,Sweden,,EMEA,KODE
4125,KODE Gaming,Zekrosk,Italy,Spain,2001-01-10,EMEA,KODE
4126,KOVA Esports,Cyanide,,Finland,1994-11-15,Europe,KOVA
4127,KRC Genk Esports,arendmen,,Netherlands,1996-12-05,EMEA,GENK
4128,KRC Genk Esports,Cisse,,Belgium,2000-07-29,EMEA,GENK
4129,KRC Genk Esports,Guertas,,France,,EMEA,GENK
4130,KRC Genk Esports,Mikkel,,Netherlands,1999-01-13,EMEA,GENK
4131,KRC Genk Esports,Naniinaa,,Netherlands,2001-07-28,EMEA,GENK
4132,KRC Genk Esports,Orion,French Polynesia,Tunisia,1995-11-21,EMEA,GENK
4133,KRC Genk Esports,Robba,,Netherlands,1997-06-11,EMEA,GENK
4134,KRC Genk Esports,Robertoos,,Poland,,EMEA,GENK
4135,KRC Genk Esports,TheBash,,Netherlands,1996-01-10,EMEA,GENK
4136,KRC Genk Esports,Tixn,,Slovakia,2003-08-12,EMEA,GENK
4137,KRÜ Esports,Famus,,Argentina,,Latin America,KRU
4138,KT Rolster,Aiming,,South Korea,2000-07-20,Korea,KT
4139,KT Rolster,Bdd,,South Korea,1999-03-01,Korea,KT
4140,KT Rolster,Cuzz,,South Korea,1999-10-30,Korea,KT
4141,KT Rolster,Hirai,,South Korea,1982-03-26,Korea,KT
4142,KT Rolster,Kiin,,South Korea,1999-05-28,Korea,KT
4143,KT Rolster,Lehends,,South Korea,1998-12-24,Korea,KT
4144,KT Rolster,RapidStar,,South Korea,1993-05-05,Korea,KT
4145,KT Rolster,supreme,,South Korea,1987-04-27,Korea,KT
4146,KT Rolster Academy,AD,,South Korea,2002-02-08,Korea,KT.A
4147,KT Rolster Academy,hyun,,South Korea,1992-07-06,Korea,KT.A
4148,KT Rolster Academy,MID,,South Korea,,Korea,KT.A
4149,KT Rolster Academy,SUP,,South Korea,,Korea,KT.A
4150,KT Rolster Academy,TOP,,South Korea,,Korea,KT.A
4151,KT Rolster Challengers,Castle,,South Korea,2002-10-08,Korea,KT.C
4152,KT Rolster Challengers,Feisty,,South Korea,2003-12-19,Korea,KT.C
4153,KT Rolster Challengers,HamBak,,South Korea,2002-08-28,Korea,KT.C
4154,KT Rolster Challengers,Hype,,South Korea,2003-09-09,Korea,KT.C
4155,KT Rolster Challengers,Lilac,,South Korea,1992-02-17,Korea,KT.C
4156,KT Rolster Challengers,PerfecT,,South Korea,2004-05-17,Korea,KT.C
4157,KT Rolster Challengers,Sonstar,,South Korea,1994-08-31,Korea,KT.C
4158,KT Rolster Challengers,Way,,South Korea,2002-06-29,Korea,KT.C
4159,Kumiho Esports,nae,,Spain,,EMEA,KHO
4160,Kumiho Esports,Tikyl,,Spain,,EMEA,KHO
4161,Kumiho Esports,Xenxo,,Spain,1999-12-27,EMEA,KHO
4162,Kwangdong Freecs,Alvingo,,South Korea,1992-06-04,Korea,KDF
4163,Kwangdong Freecs,BuLLDoG,,South Korea,2005-04-15,Korea,KDF
4164,Kwangdong Freecs,cvMax,,South Korea,1990-07-07,Korea,KDF
4165,Kwangdong Freecs,DuDu,,South Korea,2001-03-08,Korea,KDF
4166,Kwangdong Freecs,Jun,,South Korea,2000-08-02,Korea,KDF
4167,Kwangdong Freecs,Millimas,,South Korea,2001-12-15,Korea,KDF
4168,Kwangdong Freecs,Moham,,South Korea,2002-08-08,Korea,KDF
4169,Kwangdong Freecs,oDin,,South Korea,1987-07-15,Korea,KDF
4170,Kwangdong Freecs,Taeyoon,,South Korea,2002-06-02,Korea,KDF
4171,Kwangdong Freecs,YoungJae,,South Korea,2002-11-16,Korea,KDF
4172,Kwangdong Freecs Academy,Abyss,,South Korea,2005-08-26,Korea,KDF.A
4173,Kwangdong Freecs Academy,Allo,,South Korea,2003-03-27,Korea,KDF.A
4174,Kwangdong Freecs Academy,Dooly,,South Korea,2005-12-18,Korea,KDF.A
4175,Kwangdong Freecs Academy,Greed,,South Korea,2003-01-07,Korea,KDF.A
4176,Kwangdong Freecs Academy,Machete,,South Korea,2005-07-16,Korea,KDF.A
4177,Kwangdong Freecs Academy,Pressure,,South Korea,2004-03-15,Korea,KDF.A
4178,Kwangdong Freecs Academy,Quantum,,South Korea,2004-08-20,Korea,KDF.A
4179,Kwangdong Freecs Academy,Sweeper,,South Korea,,Korea,KDF.A
4180,Kwangdong Freecs Academy,Whisper,,South Korea,2005-11-14,Korea,KDF.A
4181,Kwangdong Freecs Academy,Yechan,,South Korea,,Korea,KDF.A
4182,Kwangdong Freecs Challengers,Andil,,South Korea,2002-10-05,Korea,KDF.C
4183,Kwangdong Freecs Challengers,Bull,,South Korea,2003-05-16,Korea,KDF.C
4184,Kwangdong Freecs Challengers,Cleaver,,South Korea,2005-12-30,Korea,KDF.C
4185,Kwangdong Freecs Challengers,Courage,,South Korea,2005-03-09,Korea,KDF.C
4186,Kwangdong Freecs Challengers,IlllIma,,South Korea,2002-09-20,Korea,KDF.C
4187,Kwangdong Freecs Challengers,Lancer,,South Korea,2004-08-11,Korea,KDF.C
4188,Kwangdong Freecs Challengers,Moon,,South Korea,1995-01-06,Korea,KDF.C
4189,Kwangdong Freecs Challengers,Winged,,South Korea,1992-08-20,Korea,KDF.C
4190,LDLC OL,Backlund,,Sweden,1999-11-22,EMEA,LDLC
4191,LDLC OL,Greedyz,,France,,EMEA,LDLC
4192,LDLC OL,Jeskla,,Sweden,2000-07-08,EMEA,LDLC
4193,LDLC OL,Kryze,,Sweden,1999-07-01,EMEA,LDLC
4194,LDLC OL,White,,France,2002-07-11,EMEA,LDLC
4195,LDLC OL,Zoelys,,France,2003-05-16,EMEA,LDLC
4196,Legacy Genesis,Raps,,Australia,,Oceania,LGG
4197,Leões Porto Salvo Esports,Adri,"Portugal,France",France,2000-11-03,EMEA,LPS
4198,Leões Porto Salvo Esports,Blackout,,Portugal,2000-10-28,EMEA,LPS
4199,Leões Porto Salvo Esports,Darky,,Portugal,,EMEA,LPS
4200,Leões Porto Salvo Esports,DuarteV,,Portugal,,EMEA,LPS
4201,Leões Porto Salvo Esports,Frenzyy,,Portugal,2005-02-17,EMEA,LPS
4202,Leões Porto Salvo Esports,Syklash,,Portugal,1999-09-15,EMEA,LPS
4203,Levante UD Esports,Destru,,Spain,,EMEA,LUD
4204,Levante UD Esports,Ibai,,Spain,,EMEA,LUD
4205,Levante UD Esports,Johnarnau,,Spain,1999-10-13,EMEA,LUD
4206,Levante UD Esports,Nasser,Spain,Lebanon,1998-11-18,EMEA,LUD
4207,Levante UD Esports,WachonBB,,Spain,,EMEA,LUD
4208,Leviatan,Kiefer,,Chile,2001-02-27,Latin America,LEV
4209,Leviatan,Kraan,,Argentina,,Latin America,LEV
4210,Leviatan,Lesmart,,Argentina,1994-10-19,Latin America,LEV
4211,Leviatan,Nothing,,Argentina,,Latin America,LEV
4212,Leviatan,Pancake,,Argentina,2000-10-18,Latin America,LEV
4213,Leviatan,Politico,,Brazil,1996-12-12,Latin America,LEV
4214,Leviatan,Rahab,,Argentina,2001-04-04,Latin America,LEV
4215,Leviatan,Revehaza,,Mexico,1996-04-27,Latin America,LEV
4216,Leviatan,Shmebu,,Argentina,1998-09-21,Latin America,LEV
4217,LGD Gaming,1874,,China,,China,LGD
4218,LGD Gaming,Chelizi,,China,2000-03-28,China,LGD
4219,LGD Gaming,Decade,,China,,China,LGD
4220,LGD Gaming,Envyy,,South Korea,2000-04-07,China,LGD
4221,LGD Gaming,fearness,,China,2002-03-18,China,LGD
4222,LGD Gaming,haichao,,China,2003-04-17,China,LGD
4223,LGD Gaming,Jinjiao,,China,1998-04-15,China,LGD
4224,LGD Gaming,Lpc,,China,2001-06-20,China,LGD
4225,LGD Gaming,Meteor,,China,1999-12-26,China,LGD
4226,LGD Gaming Young Team,BoBo,,China,,China,LGDY
4227,LGD Gaming Young Team,chips,,China,,China,LGDY
4228,LGD Gaming Young Team,Overture,,China,,China,LGDY
4229,LGD Gaming Young Team,Ru0,,China,,China,LGDY
4230,LGD Gaming Young Team,SW,,China,,China,LGDY
4231,LGD Gaming Young Team,wenyi,,China,,China,LGDY
4232,LGD Gaming Young Team,xqw,,China,2003-04-02,China,LGDY
4233,LGD Gaming Young Team,Yed9,,China,,China,LGDY
4234,LGD Gaming Young Team,Zap,,China,,China,LGDY
4235,Liberty,Accez,,Brazil,,Brazil,LBR
4236,Liberty,Alocs,,Brazil,1989-08-16,Brazil,LBR
