,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
18166,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-17 23:00:00,Cloud9,OpTic Gaming,1,0,1
19752,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-18 00:00:00,Predators Esports,Dash9 Gaming,1,0,1
6686,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-18 09:00:00,Bilibili Gaming,Suning,0,2,2
6687,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-18 11:00:00,Royal Never Give Up,LGD Gaming,2,0,1
14827,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-18 14:00:00,Dark Passage,YouthCrew Esports,0,1,2
14828,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-18 15:00:00,Royal Bandits,HWA Gaming,1,0,1
14829,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-18 16:00:00,Fenerbahçe Esports,Bursaspor Esports,1,0,1
14830,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-18 17:00:00,SuperMassive Esports,Team AURORA,1,0,1
4409,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-19 08:00:00,KT Rolster,Kingzone DragonX,0,2,2
6688,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-19 09:00:00,Team WE,FunPlus Phoenix,1,2,2
4410,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-19 11:00:00,Afreeca Freecs,bbq Olivers,2,0,1
6689,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-19 11:00:00,EDward Gaming,Oh My God,2,0,1
4411,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-20 05:00:00,Griffin (Korean Team),Jin Air Green Wings,2,0,1
4412,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-20 08:00:00,SK Telecom T1,MVP,1,2,2
6690,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-20 09:00:00,Invictus Gaming,Vici Gaming,2,0,1
6691,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-20 11:00:00,Royal Never Give Up,Suning,2,0,1
4413,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-20 11:00:00,Gen.G,Hanwha Life Esports,2,1,1
4414,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-21 08:00:00,Kingzone DragonX,Afreeca Freecs,2,1,1
13590,VCS 2018 Summer,Vietnam Championship Series,VCS,2018-06-21 09:00:00,FTV Esports,Vikings Gaming,2,0,1
4415,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-21 11:00:00,bbq Olivers,KT Rolster,0,2,2
13591,VCS 2018 Summer,Vietnam Championship Series,VCS,2018-06-21 12:00:00,Friends Forever Gaming,Cherry Esports,2,0,1
10615,LJL 2018 Summer,LoL Japan League,LJL,2018-06-22 05:00:00,V3 Esports,Burning Core,1,2,2
12397,OPL 2018 Split 2,Oceanic Pro League,OPL,2018-06-22 07:00:00,Dire Wolves,Tectonic,2,0,1
