,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
14681,TCL 2016 Winter,Turkish Championship League,TCL,2016-03-02 21:30:00,Beşiktaş.Oyun Hizmetleri,SuperMassive Esports,0,1,2
3953,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-03 08:00:00,Samsung Galaxy,KT Rolster,0,2,2
3954,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-03 11:00:00,ROX Tigers,Longzhu Gaming,2,0,1
20209,LAS 2016 Opening Cup,Copa Latinoamérica Sur,CLS,2016-03-03 20:00:00,Rebirth eSports,Hafnet eSports,1,1,0
20210,LAS 2016 Opening Cup,Copa Latinoamérica Sur,CLS,2016-03-03 22:00:00,Kaos Latin Gamers,Last Kings,1,1,0
20211,LAS 2016 Opening Cup,Copa Latinoamérica Sur,CLS,2016-03-04 00:00:00,Furious Gaming,Isurus,0,2,2
3955,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-04 08:00:00,CJ Entus,SBENU Sonicboom,2,1,1
10464,LJL 2016 Spring,LoL Japan League,LJL,2016-03-04 09:00:00,DetonatioN FocusMe,7th heaven,2,0,1
20212,LAS 2016 Opening Cup,Copa Latinoamérica Sur,CLS,2016-03-04 20:00:00,Last Kings,Furious Gaming,0,2,2
20213,LAS 2016 Opening Cup,Copa Latinoamérica Sur,CLS,2016-03-04 22:00:00,Isurus,Hafnet eSports,1,1,0
20214,LAS 2016 Opening Cup,Copa Latinoamérica Sur,CLS,2016-03-05 00:00:00,Rebirth eSports,Kaos Latin Gamers,2,0,1
20215,LAS 2016 Opening Cup,Copa Latinoamérica Sur,CLS,2016-03-05 03:00:00,Isurus,Hafnet eSports,1,0,1
10465,LJL 2016 Spring,LoL Japan League,LJL,2016-03-05 09:00:00,Unsold Stuff Gaming,Team BlackEye,2,0,1
12175,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-07 08:00:00,Chiefs Esports Club,Trident Esports,2,1,1
12176,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-08 07:00:00,Sin Gaming,Infernum Gaming,2,0,1
12177,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-08 10:00:00,Legacy Esports,Hellions e-Sports Club,2,0,1
8250,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-08 11:00:00,LGD Gaming,Energy Pacemaker.All,2,1,1
8251,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-08 11:00:00,Snake Esports,Oh My God,2,0,1
8249,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-08 11:00:00,Invictus Gaming,Qiao Gu Reapers,0,2,2
8253,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-08 11:00:00,Vici Gaming,Royal Never Give Up,0,2,2
8252,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-08 11:00:00,Team WE,EDward Gaming,0,2,2
12178,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-09 08:00:00,Dire Wolves,Avant Garde,1,2,2
3956,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-09 08:00:00,Longzhu Gaming,Kongdoo Monster,2,0,1
10466,LJL 2016 Spring,LoL Japan League,LJL,2016-03-09 09:00:00,7th heaven,Rascal Jester,2,1,1
3957,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-09 11:00:00,Jin Air Green Wings,KT Rolster,2,0,1
3958,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-10 08:00:00,CJ Entus,Samsung Galaxy,2,0,1
6144,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-10 09:00:00,Qiao Gu Reapers,Hyper Youth Gaming,2,0,1
3959,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-10 11:00:00,SBENU Sonicboom,ROX Tigers,0,2,2
16151,LMS 2016 Spring,LoL Master Series,LMS,2016-03-10 11:00:00,Midnight Sun Esports,Machi Esports,1,1,0
6145,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-10 11:00:00,LGD Gaming,Oh My God,1,2,2
16152,LMS 2016 Spring,LoL Master Series,LMS,2016-03-10 13:00:00,eXtreme Gamers,Flash Wolves,0,2,2
19139,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-10 17:00:00,Fnatic,Giants Gaming,1,0,1
19140,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-10 18:00:00,H2k-Gaming,Team ROCCAT,1,0,1
19141,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-10 19:00:00,Unicorns of Love,Origen,0,1,2
19142,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-10 20:00:00,Team Vitality,G2 Esports,0,1,2
19143,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-10 21:00:00,Elements,Splyce,0,1,2
20216,LAS 2016 Opening Cup Playoffs,Copa Latinoamérica Sur,CLS,2016-03-10 22:00:00,Furious Gaming,Isurus,2,3,2
3960,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-11 08:00:00,Afreeca Freecs,SK Telecom T1,1,2,2
6146,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-11 09:00:00,Energy Pacemaker.All,Royal Never Give Up,0,2,2
10467,LJL 2016 Spring,LoL Japan League,LJL,2016-03-11 09:00:00,Rampage,Team BlackEye,2,1,1
6147,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-11 11:00:00,Team WE,Invictus Gaming,2,0,1
3961,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-11 11:00:00,Jin Air Green Wings,Kongdoo Monster,2,0,1
16153,LMS 2016 Spring,LoL Master Series,LMS,2016-03-11 11:00:00,Cougar E-Sport,Flash Wolves,0,2,2
16154,LMS 2016 Spring,LoL Master Series,LMS,2016-03-11 13:00:00,Hong Kong Esports,Machi Esports,1,1,0
19144,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-11 17:00:00,G2 Esports,Giants Gaming,1,0,1
19145,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-11 18:00:00,Elements,Unicorns of Love,1,0,1
19146,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-11 19:00:00,Fnatic,Team Vitality,0,1,2
19147,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-11 20:00:00,Splyce,H2k-Gaming,0,1,2
19148,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-11 21:00:00,Team ROCCAT,Origen,0,1,2
20217,LAS 2016 Opening Cup Playoffs,Copa Latinoamérica Sur,CLS,2016-03-11 22:00:00,Last Kings,Rebirth eSports,3,0,1
6148,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-12 05:00:00,Snake Esports,Oh My God,1,2,2
6149,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-12 07:00:00,LGD Gaming,Vici Gaming,2,0,1
3962,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-12 08:00:00,KT Rolster,Longzhu Gaming,2,0,1
6150,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-12 09:00:00,Qiao Gu Reapers,EDward Gaming,2,0,1
10468,LJL 2016 Spring,LoL Japan League,LJL,2016-03-12 09:00:00,DetonatioN FocusMe,Unsold Stuff Gaming,2,0,1
16155,LMS 2016 Spring,LoL Master Series,LMS,2016-03-12 11:00:00,ahq eSports Club,Cougar E-Sport,2,0,1
3963,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-12 11:00:00,Samsung Galaxy,ROX Tigers,2,1,1
16156,LMS 2016 Spring,LoL Master Series,LMS,2016-03-12 13:00:00,Taipei Assassins,Hong Kong Esports,1,1,0
8453,CBLOL 2016 Split 1 Playoffs,Circuit Brazilian League of Legends,CBLOL,2016-03-12 16:00:00,paiN Gaming,KaBuM! Esports,0,2,2
9620,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 18:00:00,Vega Squadron,Vaevictis eSports,0,1,2
8454,CBLOL 2016 Split 1 Playoffs,Circuit Brazilian League of Legends,CBLOL,2016-03-12 19:00:00,Operation Kino e-Sports,RED Canids,2,1,1
9621,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 19:00:00,Vaevictis eSports,Team Just,0,1,2
9622,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 20:00:00,Team Just,Vega Squadron,0,1,2
17721,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-12 20:00:00,Renegades,Cloud9,0,1,2
17722,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-12 21:00:00,Immortals,NRG Esports,1,0,1
9623,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 21:00:00,Team Just,Vaevictis eSports,1,0,1
17723,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-12 22:00:00,Counter Logic Gaming,Team Liquid,0,1,2
9624,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 22:00:00,Vega Squadron,Team Just,1,0,1
17724,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-12 23:00:00,TSM,Team Impulse,1,0,1
17725,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-13 00:00:00,Echo Fox,Dignitas,1,0,1
6151,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-13 07:00:00,Team WE,Hyper Youth Gaming,2,0,1
6152,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-13 09:00:00,Masters 3,Invictus Gaming,2,1,1
8455,CBLOL 2016 Split 1 Playoffs,Circuit Brazilian League of Legends,CBLOL,2016-03-13 16:00:00,paiN Gaming,RED Canids,1,2,2
17726,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-13 19:00:00,Cloud9,Team Impulse,1,0,1
8456,CBLOL 2016 Split 1 Playoffs,Circuit Brazilian League of Legends,CBLOL,2016-03-13 19:00:00,g3nerationX,CNB e-Sports Club,0,2,2
17727,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-13 20:00:00,NRG Esports,Team Liquid,1,0,1
17728,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-13 21:00:00,TSM,Renegades,0,1,2
17729,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-13 22:00:00,Dignitas,Immortals,0,1,2
17730,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-13 23:00:00,Echo Fox,Counter Logic Gaming,0,1,2
12179,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-14 08:00:00,Infernum Gaming,Avant Garde,0,2,2
12180,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-15 07:00:00,Dire Wolves,Trident Esports,0,2,2
12181,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-15 08:00:00,Chiefs Esports Club,Legacy Esports,2,1,1
8255,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-15 11:00:00,Energy Pacemaker.All,Royal Never Give Up,0,2,2
8256,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-15 11:00:00,LGD Gaming,Snake Esports,2,0,1
8257,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-15 11:00:00,Oh My God,Team WE,2,1,1
8258,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-15 11:00:00,Qiao Gu Reapers,Vici Gaming,2,0,1
8254,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-15 11:00:00,EDward Gaming,Invictus Gaming,2,0,1
3964,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-16 08:00:00,SK Telecom T1,Jin Air Green Wings,2,0,1
10469,LJL 2016 Spring,LoL Japan League,LJL,2016-03-16 09:00:00,Rampage,7th heaven,0,2,2
12182,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-16 10:00:00,Hellions e-Sports Club,Sin Gaming,0,2,2
3965,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-16 11:00:00,Afreeca Freecs,Kongdoo Monster,2,1,1
3966,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-17 08:00:00,Longzhu Gaming,CJ Entus,1,2,2
6153,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-17 09:00:00,Snake Esports,Royal Never Give Up,0,2,2
16157,LMS 2016 Spring,LoL Master Series,LMS,2016-03-17 11:00:00,Machi Esports,Flash Wolves,0,2,2
3967,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-17 11:00:00,SBENU Sonicboom,KT Rolster,0,2,2
6154,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-17 11:00:00,Masters 3,EDward Gaming,0,2,2
16158,LMS 2016 Spring,LoL Master Series,LMS,2016-03-17 13:00:00,Cougar E-Sport,Hong Kong Esports,0,2,2
19149,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-17 17:00:00,Giants Gaming,Origen,0,1,2
19150,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-17 18:00:00,Elements,Fnatic,1,0,1
19151,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-17 19:00:00,H2k-Gaming,Unicorns of Love,0,1,2
19152,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-17 20:00:00,Team ROCCAT,Team Vitality,1,0,1
19153,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-17 21:00:00,Splyce,G2 Esports,0,1,2
3968,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-18 08:00:00,SK Telecom T1,ROX Tigers,0,2,2
10470,LJL 2016 Spring,LoL Japan League,LJL,2016-03-18 09:00:00,Unsold Stuff Gaming,Rascal Jester,2,0,1
6155,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-18 09:00:00,Energy Pacemaker.All,Vici Gaming,0,2,2
6156,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-18 11:00:00,LGD Gaming,Hyper Youth Gaming,2,0,1
3969,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-18 11:00:00,Samsung Galaxy,Afreeca Freecs,1,2,2
16159,LMS 2016 Spring,LoL Master Series,LMS,2016-03-18 11:00:00,eXtreme Gamers,Taipei Assassins,0,2,2
16160,LMS 2016 Spring,LoL Master Series,LMS,2016-03-18 13:00:00,Midnight Sun Esports,ahq eSports Club,0,2,2
19154,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-18 17:00:00,H2k-Gaming,Elements,1,0,1
19155,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-18 18:00:00,Team Vitality,Splyce,1,0,1
19156,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-18 19:00:00,Origen,Fnatic,1,0,1
19157,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-18 20:00:00,Giants Gaming,Team ROCCAT,1,0,1
19158,EU LCS 2016 Spring,Europe League Championship Series,EU LCS,2016-03-18 21:00:00,G2 Esports,Unicorns of Love,1,0,1
6157,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-19 05:00:00,Qiao Gu Reapers,Invictus Gaming,2,1,1
6158,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-19 07:00:00,Masters 3,Royal Never Give Up,1,2,2
3970,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-19 08:00:00,Kongdoo Monster,SBENU Sonicboom,0,2,2
6159,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-19 09:00:00,Team WE,Oh My God,2,1,1
10471,LJL 2016 Spring,LoL Japan League,LJL,2016-03-19 09:00:00,DetonatioN FocusMe,Team BlackEye,2,0,1
16161,LMS 2016 Spring,LoL Master Series,LMS,2016-03-19 11:00:00,Flash Wolves,Hong Kong Esports,2,0,1
3971,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-19 11:00:00,CJ Entus,Jin Air Green Wings,1,2,2
14682,TCL 2016 Winter Playoffs,Turkish Championship League,TCL,2016-03-19 12:00:00,SuperMassive Esports,Team Turquality,3,1,1
16162,LMS 2016 Spring,LoL Master Series,LMS,2016-03-19 13:00:00,Machi Esports,Cougar E-Sport,2,0,1
8457,CBLOL 2016 Split 1 Playoffs,Circuit Brazilian League of Legends,CBLOL,2016-03-19 16:00:00,Keyd Stars,KaBuM! Esports,3,0,1
17731,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-19 19:00:00,Team Impulse,Renegades,0,1,2
17732,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-19 20:00:00,Counter Logic Gaming,NRG Esports,1,0,1
17733,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-19 21:00:00,Immortals,TSM,1,0,1
17734,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-19 22:00:00,Dignitas,Team Liquid,0,1,2
17735,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-19 23:00:00,Cloud9,Echo Fox,1,0,1
16163,LMS 2016 Spring,LoL Master Series,LMS,2016-03-20 05:00:00,Midnight Sun Esports,eXtreme Gamers,1,1,0
6160,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-20 07:00:00,Energy Pacemaker.All,EDward Gaming,0,2,2
16164,LMS 2016 Spring,LoL Master Series,LMS,2016-03-20 07:00:00,Taipei Assassins,ahq eSports Club,0,2,2
6161,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-20 09:00:00,Snake Esports,Vici Gaming,1,2,2
14683,TCL 2016 Winter Playoffs,Turkish Championship League,TCL,2016-03-20 12:00:00,Beşiktaş.Oyun Hizmetleri,HWA Gaming,3,1,1
8458,CBLOL 2016 Split 1 Playoffs,Circuit Brazilian League of Legends,CBLOL,2016-03-20 16:00:00,INTZ,Operation Kino e-Sports,3,1,1
17736,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-20 19:00:00,Renegades,Echo Fox,1,0,1
17737,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-20 20:00:00,Team Liquid,Cloud9,1,0,1
17738,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-20 21:00:00,Team Impulse,Immortals,0,1,2
17739,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-20 22:00:00,Counter Logic Gaming,Dignitas,1,0,1
17740,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-20 23:00:00,TSM,NRG Esports,0,1,2
17741,NA LCS 2016 Spring,North America League Championship Series,NA LCS,2016-03-21 00:00:00,Team Impulse,Renegades,0,1,2
12183,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-21 08:00:00,Trident Esports,Infernum Gaming,2,0,1
12184,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-22 07:00:00,Legacy Esports,Avant Garde,2,0,1
12185,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-22 10:00:00,Hellions e-Sports Club,Dire Wolves,0,2,2
8263,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-22 11:00:00,Vici Gaming,EDward Gaming,1,2,2
8260,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-22 11:00:00,Royal Never Give Up,Qiao Gu Reapers,2,0,1
8261,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-22 11:00:00,Snake Esports,Energy Pacemaker.All,0,2,2
8262,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-22 11:00:00,Team WE,LGD Gaming,1,2,2
8259,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-22 11:00:00,Invictus Gaming,Oh My God,2,1,1
3972,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-23 08:00:00,Samsung Galaxy,SBENU Sonicboom,2,0,1
12186,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-23 08:00:00,Sin Gaming,Chiefs Esports Club,0,2,2
10472,LJL 2016 Spring,LoL Japan League,LJL,2016-03-23 09:00:00,Rascal Jester,DetonatioN FocusMe,0,2,2
12187,OPL 2016 Split 1,Oceanic Pro League,OPL,2016-03-23 10:00:00,Dire Wolves,Sin Gaming,0,1,2
3973,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-23 11:00:00,CJ Entus,ROX Tigers,0,2,2
3974,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-24 08:00:00,KT Rolster,Afreeca Freecs,1,2,2
6162,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-24 09:00:00,Hyper Youth Gaming,EDward Gaming,0,2,2
3975,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-24 11:00:00,Longzhu Gaming,SK Telecom T1,0,2,2
6163,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-24 11:00:00,Vici Gaming,Invictus Gaming,1,2,2
16165,LMS 2016 Spring,LoL Master Series,LMS,2016-03-24 11:00:00,eXtreme Gamers,Cougar E-Sport,1,1,0
16166,LMS 2016 Spring,LoL Master Series,LMS,2016-03-24 13:00:00,Hong Kong Esports,Midnight Sun Esports,1,1,0
14684,TCL 2016 Winter Playoffs,Turkish Championship League,TCL,2016-03-24 15:00:00,Team Turquality,HWA Gaming,0,3,2
19265,EU LCS 2016 Summer Promotion,Europe League Championship Series,EU LCS,2016-03-24 16:00:00,Giants Gaming,Copenhagen Wolves,3,2,1
3976,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-25 08:00:00,Kongdoo Monster,ROX Tigers,0,2,2
10473,LJL 2016 Spring,LoL Japan League,LJL,2016-03-25 09:00:00,7th heaven,Team BlackEye,2,0,1
6164,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-25 09:00:00,Qiao Gu Reapers,LGD Gaming,0,2,2
3977,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-25 11:00:00,Samsung Galaxy,Jin Air Green Wings,2,1,1
6165,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-25 11:00:00,Energy Pacemaker.All,Team WE,1,2,2
16167,LMS 2016 Spring,LoL Master Series,LMS,2016-03-25 11:00:00,ahq eSports Club,Machi Esports,1,1,0
16168,LMS 2016 Spring,LoL Master Series,LMS,2016-03-25 13:00:00,Flash Wolves,Taipei Assassins,0,2,2
20184,LAS 2016 Closing Cup Promotion,Copa Latinoamérica Sur,CLS,2016-03-25 21:00:00,Kaos Latin Gamers,Bencheados,3,0,1
6166,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-26 05:00:00,Invictus Gaming,EDward Gaming,0,2,2
6167,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-26 07:00:00,Hyper Youth Gaming,Oh My God,0,2,2
3978,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-26 08:00:00,SK Telecom T1,CJ Entus,2,0,1
10474,LJL 2016 Spring,LoL Japan League,LJL,2016-03-26 09:00:00,Rampage,Unsold Stuff Gaming,0,2,2
6168,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-26 09:00:00,Royal Never Give Up,Vici Gaming,2,1,1
16169,LMS 2016 Spring,LoL Master Series,LMS,2016-03-26 11:00:00,eXtreme Gamers,Hong Kong Esports,0,2,2
3979,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-26 11:00:00,SBENU Sonicboom,Afreeca Freecs,1,2,2
14685,TCL 2016 Winter Playoffs,Turkish Championship League,TCL,2016-03-26 12:00:00,Team AURORA,SuperMassive Esports,2,3,2
16170,LMS 2016 Spring,LoL Master Series,LMS,2016-03-26 13:00:00,Midnight Sun Esports,Cougar E-Sport,2,0,1
19266,EU LCS 2016 Summer Promotion,Europe League Championship Series,EU LCS,2016-03-26 13:00:00,Splyce,Giants Gaming,3,2,1
19267,EU LCS 2016 Summer Promotion,Europe League Championship Series,EU LCS,2016-03-26 18:00:00,Team ROCCAT,Huma,3,1,1
6169,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-27 05:00:00,Energy Pacemaker.All,LGD Gaming,1,2,2
16171,LMS 2016 Spring,LoL Master Series,LMS,2016-03-27 05:00:00,Machi Esports,Taipei Assassins,1,1,0
16172,LMS 2016 Spring,LoL Master Series,LMS,2016-03-27 07:00:00,ahq eSports Club,Flash Wolves,1,1,0
6170,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-27 07:00:00,Snake Esports,Qiao Gu Reapers,2,0,1
6171,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-27 09:00:00,Masters 3,Team WE,0,2,2
9625,LCL 2016 Spring Playoffs,LoL Continental League,LCL,2016-03-27 11:00:00,Hard Random,Vega Squadron,3,0,1
14686,TCL 2016 Winter Playoffs,Turkish Championship League,TCL,2016-03-27 11:00:00,Dark Passage,Beşiktaş.Oyun Hizmetleri,2,3,2
9626,LCL 2016 Spring Playoffs,LoL Continental League,LCL,2016-03-27 15:00:00,Team Empire,Natus Vincere.CIS,3,2,1
19268,EU LCS 2016 Summer Promotion,Europe League Championship Series,EU LCS,2016-03-27 15:00:00,Giants Gaming,Huma,3,1,1
16173,LMS 2016 Spring,LoL Master Series,LMS,2016-03-28 11:00:00,Hong Kong Esports,Machi Esports,0,1,2
9627,LCL 2016 Spring Playoffs,LoL Continental League,LCL,2016-03-28 15:00:00,Vega Squadron,Natus Vincere.CIS,2,0,1
12188,OPL 2016 Split 1 Playoffs,Oceanic Pro League,OPL,2016-03-29 08:00:00,Legacy Esports,Dire Wolves,3,1,1
8264,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-29 11:00:00,EDward Gaming,Royal Never Give Up,2,0,1
8266,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-29 11:00:00,LGD Gaming,Invictus Gaming,2,1,1
8267,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-29 11:00:00,Oh My God,Vici Gaming,0,2,2
8268,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-29 11:00:00,Snake Esports,Team WE,2,0,1
8265,LPPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-29 11:00:00,Energy Pacemaker.All,Qiao Gu Reapers,0,2,2
3980,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-30 08:00:00,ROX Tigers,KT Rolster,1,2,2
12189,OPL 2016 Split 1 Playoffs,Oceanic Pro League,OPL,2016-03-30 08:00:00,Chiefs Esports Club,Sin Gaming,3,0,1
3981,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-30 11:00:00,Longzhu Gaming,Samsung Galaxy,2,0,1
3982,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-31 08:00:00,Jin Air Green Wings,Afreeca Freecs,0,2,2
10510,LJL 2016 Summer Promotion,LoL Japan League,LJL,2016-03-31 08:00:00,Team BlackEye,Dragonfly Gaming,3,0,1
6172,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-31 09:00:00,Energy Pacemaker.All,Qiao Gu Reapers,2,1,1
6173,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-03-31 11:00:00,Masters 3,Snake Esports,0,2,2
3983,LCK 2016 Spring,LoL Champions Korea,LCK,2016-03-31 11:00:00,Kongdoo Monster,SK Telecom T1,0,2,2
10511,LJL 2016 Summer Promotion,LoL Japan League,LJL,2016-04-01 08:00:00,Rascal Jester,SCARZ,2,3,2
3984,LCK 2016 Spring,LoL Champions Korea,LCK,2016-04-01 08:00:00,SBENU Sonicboom,Longzhu Gaming,2,0,1
6174,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-04-01 09:00:00,Royal Never Give Up,EDward Gaming,1,2,2
6175,LPL 2016 Spring,Tencent LoL Pro League,LPL,2016-04-01 11:00:00,Oh My God,Invictus Gaming,2,1,1
3985,LCK 2016 Spring,LoL Champions Korea,LCK,2016-04-01 11:00:00,CJ Entus,KT Rolster,0,2,2
