,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red
5145,LCK 2016 Spring,LCK,2016-01-23 12:18:00,ROX Tigers,Longzhu Gaming,ROX Tigers,21.0,8.0,58700.0,42300.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,,,2016,ROX,KR,LZ,KR,ROX,KR,Blue
5192,LCK 2016 Spring,LCK,2016-01-27 08:00:00,Afreeca Freecs,SBENU Sonicboom,Afreeca Freecs,18.0,11.0,78500.0,68500.0,3.0,2.0,1.0,1.0,0.0,1.0,10.0,3.0,,,2016,KDF,KR,,NA,KDF,KR,Blue
5195,LCK 2016 Spring,LCK,2016-01-27 09:00:00,SBENU Sonicboom,Afreeca Freecs,Afreeca Freecs,10.0,16.0,69800.0,80900.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,10.0,,,2016,,NA,KDF,KR,KDF,KR,Red
5197,LCK 2016 Spring,LCK,2016-01-27 10:07:00,ROX Tigers,SK Telecom T1,SK Telecom T1,20.0,18.0,80300.0,77200.0,4.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,,,2016,ROX,KR,T1,KR,T1,KR,Red
5201,LCK 2016 Spring,LCK,2016-01-27 11:22:00,SK Telecom T1,ROX Tigers,ROX Tigers,13.0,14.0,84000.0,96300.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,9.0,,,2016,T1,KR,ROX,KR,ROX,KR,Red
5204,LCK 2016 Spring,LCK,2016-01-27 12:30:00,ROX Tigers,SK Telecom T1,ROX Tigers,10.0,2.0,56300.0,43100.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,,,2016,ROX,KR,T1,KR,ROX,KR,Blue
5207,LCK 2016 Spring,LCK,2016-01-28 08:01:00,Jin Air Green Wings,CJ Entus,Jin Air Green Wings,10.0,1.0,72800.0,59100.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,,,2016,JAG,KR,CJ,KR,JAG,KR,Blue
5209,LCK 2016 Spring,LCK,2016-01-28 09:02:00,CJ Entus,Jin Air Green Wings,Jin Air Green Wings,8.0,10.0,73000.0,73400.0,1.0,4.0,1.0,0.0,1.0,0.0,5.0,8.0,,,2016,CJ,KR,JAG,KR,JAG,KR,Red
5211,LCK 2016 Spring,LCK,2016-01-28 10:02:00,KT Rolster,Samsung Galaxy,KT Rolster,9.0,0.0,52200.0,37400.0,1.0,1.0,0.0,0.0,3.0,0.0,10.0,2.0,,,2016,KT,KR,SSG,KR,KT,KR,Blue
5214,LCK 2016 Spring,LCK,2016-01-28 11:01:00,Samsung Galaxy,KT Rolster,KT Rolster,11.0,16.0,63200.0,67100.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,7.0,,,2016,SSG,KR,KT,KR,KT,KR,Red
5225,LCK 2016 Spring,LCK,2016-01-29 07:58:00,SK Telecom T1,e-mFire,SK Telecom T1,16.0,11.0,94300.0,78700.0,2.0,4.0,2.0,0.0,0.0,0.0,11.0,3.0,,,2016,T1,KR,EMF,KR,T1,KR,Blue
5228,LCK 2016 Spring,LCK,2016-01-29 09:08:00,e-mFire,SK Telecom T1,e-mFire,10.0,5.0,61300.0,50700.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,,,2016,EMF,KR,T1,KR,EMF,KR,Blue
5230,LCK 2016 Spring,LCK,2016-01-29 09:58:00,SK Telecom T1,e-mFire,SK Telecom T1,21.0,12.0,89000.0,81400.0,1.0,6.0,1.0,1.0,0.0,0.0,10.0,6.0,,,2016,T1,KR,EMF,KR,T1,KR,Blue
