,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red,Win_RiftHeralds,Lose_RiftHeralds,Win_Towers,Lose_Towers,Win_Inhibitors,Lose_Inhibitors,Win_Kills,Lose_Kills,Win_Dragons,Lose_Dragons,Win_Barons,Lose_Barons
26593,Worlds 2021 Play-In,WCS,2021-10-05 17:17:00,DetonatioN FocusMe,Cloud9,Cloud9,4,13,43759,55549,0,4,0,1,1,1,3,10,0,2,2021,DFM,JP,C9,NA,C9,NA,Red,1,1,10,3,2,0,13,4,4,0,1,0
26594,Worlds 2021 Play-In,WCS,2021-10-05 18:13:00,Unicorns of Love.CIS,Galatasaray Esports,Galatasaray Esports,9,22,45267,58652,0,4,0,1,1,1,2,9,0,2,2021,UOL,INT,GS,EMEA,GS,EMEA,Red,1,1,9,2,2,0,22,9,4,0,1,0
26595,Worlds 2021 Play-In,WCS,2021-10-06 10:31:00,PEACE (Oceanic Team),Hanwha Life Esports,Hanwha Life Esports,6,21,45164,60531,0,4,0,1,1,1,1,10,0,2,2021,PCE,PCS,HLE,KR,HLE,KR,Red,1,1,10,1,2,0,21,6,4,0,1,0
26596,Worlds 2021 Play-In,WCS,2021-10-06 11:42:00,RED Canids,LNG Esports,LNG Esports,5,15,45667,56513,2,1,0,1,2,0,2,10,0,1,2021,RED,BR,LNG,CN,LNG,CN,Red,0,2,10,2,1,0,15,5,1,2,1,0
26597,Worlds 2021 Play-In,WCS,2021-10-06 12:37:00,INFINITY,PEACE (Oceanic Team),PEACE (Oceanic Team),17,21,57722,67293,0,4,0,1,2,0,3,8,0,1,2021,INF,LAT,PCE,PCS,PCE,PCS,Red,0,2,8,3,1,0,21,17,4,0,1,0
26598,Worlds 2021 Play-In,WCS,2021-10-06 13:37:00,RED Canids,Hanwha Life Esports,Hanwha Life Esports,10,21,44437,58678,0,4,0,1,1,1,2,10,0,2,2021,RED,BR,HLE,KR,HLE,KR,Red,1,1,10,2,2,0,21,10,4,0,1,0
26599,Worlds 2021 Play-In,WCS,2021-10-06 14:35:00,Beyond Gaming,Cloud9,Cloud9,16,26,65146,75327,1,4,0,2,2,0,3,11,0,4,2021,BYG,PCS,C9,NA,C9,NA,Red,0,2,11,3,4,0,26,16,4,1,2,0
26600,Worlds 2021 Play-In,WCS,2021-10-06 15:42:00,Galatasaray Esports,DetonatioN FocusMe,DetonatioN FocusMe,2,17,41919,53955,0,4,0,1,0,2,2,9,0,1,2021,GS,EMEA,DFM,JP,DFM,JP,Red,2,0,9,2,1,0,17,2,4,0,1,0
26601,Worlds 2021 Play-In,WCS,2021-10-06 16:36:00,Beyond Gaming,Unicorns of Love.CIS,Beyond Gaming,19,6,51150,36767,1,1,1,0,1,1,9,1,2,0,2021,BYG,PCS,UOL,INT,BYG,PCS,Blue,1,1,9,1,2,0,19,6,1,1,1,0
26602,Worlds 2021 Play-In,WCS,2021-10-06 17:29:00,Cloud9,Galatasaray Esports,Cloud9,22,9,59271,46795,2,2,1,0,1,1,9,4,1,0,2021,C9,NA,GS,EMEA,C9,NA,Blue,1,1,9,4,1,0,22,9,2,2,1,0
