,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red,Win_RiftHeralds,Lose_RiftHeralds,Win_Towers,Lose_Towers,Win_Inhibitors,Lose_Inhibitors,Win_Kills,Lose_Kills,Win_Dragons,Lose_Dragons,Win_Barons,Lose_Barons
7690,OPL 2016 Split 2,OPL,2016-07-27 07:33:00,Dire Wolves,Legacy Esports,Legacy Esports,7,13,63142,68456,1,3,0,2,0,1,5,9,0,2,2016,DW,PCS,LGC,PCS,LGC,PCS,Red,1,0,9,5,2,0,13,7,3,1,2,0
7695,OPL 2016 Split 2,OPL,2016-07-27 09:42:00,Abyss Esports,Tainted Minds,Tainted Minds,4,11,57429,66348,1,4,0,1,0,0,4,9,0,1,2016,ABY,PCS,TM,PCS,TM,PCS,Red,0,0,9,4,1,0,11,4,4,1,1,0
8069,LLN 2017 Opening Promotion,LLN,2016-08-16 21:25:00,BrawL eSports,INFINITY,INFINITY,4,11,60100,73500,3,1,0,1,0,1,3,9,0,1,2016,BWL,INT,INF,LAT,INF,LAT,Red,1,0,9,3,1,0,11,4,1,3,1,0
8070,LLN 2017 Opening Promotion,LLN,2016-08-16 22:47:00,BrawL eSports,INFINITY,INFINITY,5,17,47300,59000,0,3,0,1,0,1,2,10,0,2,2016,BWL,INT,INF,LAT,INF,LAT,Red,1,0,10,2,2,0,17,5,3,0,1,0
8071,LLN 2017 Opening Promotion,LLN,2016-08-16 23:44:00,INFINITY,BrawL eSports,INFINITY,21,17,70900,69000,2,2,0,1,0,0,9,5,3,0,2016,INF,LAT,BWL,INT,INF,LAT,Blue,0,0,9,5,3,0,21,17,2,2,0,1
8199,LLN 2017 Opening Expansion,LLN,2016-09-01 23:30:00,Infamous Gaming,Satori,Infamous Gaming,15,11,63900,51400,3,0,1,0,0,0,11,3,2,0,2016,IFG,INT,Satori,INT,IFG,INT,Blue,0,0,11,3,2,0,15,11,3,0,1,0
8200,LLN 2017 Opening Expansion,LLN,2016-09-01 23:31:00,Silver Crows,Authority E-sports,Authority E-sports,4,14,68900,84200,1,3,0,1,0,0,2,9,0,1,2016,SC,INT,AES,INT,AES,INT,Red,0,0,9,2,1,0,14,4,3,1,1,0
8201,LLN 2017 Opening Expansion,LLN,2016-09-02 01:29:00,Dash9 Gaming,Darkness Eagles Esports,Dash9 Gaming,19,8,57300,46100,3,1,1,0,1,0,8,0,2,0,2016,D9,INT,DEGs,INT,D9,INT,Blue,1,0,8,0,2,0,19,8,3,1,1,0
8202,LLN 2017 Opening Expansion,LLN,2016-09-02 02:43:00,Satori,Infamous Gaming,Infamous Gaming,11,32,59000,71600,1,2,0,1,0,0,5,8,0,1,2016,Satori,INT,IFG,INT,IFG,INT,Red,0,0,8,5,1,0,32,11,2,1,1,0
8203,LLN 2017 Opening Expansion,LLN,2016-09-02 02:45:00,Darkness Eagles Esports,Dash9 Gaming,Dash9 Gaming,17,31,67500,82200,1,5,0,1,0,0,2,10,0,2,2016,DEGs,INT,D9,INT,D9,INT,Red,0,0,10,2,2,0,31,17,5,1,1,0
8205,LLN 2017 Opening Expansion,LLN,2016-09-02 03:03:00,Authority E-sports,Silver Crows,Authority E-sports,13,8,69000,64000,3,1,0,0,0,0,9,3,2,0,2016,AES,INT,SC,INT,AES,INT,Blue,0,0,9,3,2,0,13,8,3,1,0,0
8210,LLN 2017 Opening Expansion,LLN,2016-09-03 01:27:00,Satori,6Sense,Satori,31,24,92700,85800,2,2,2,1,1,0,9,7,2,0,2016,Satori,INT,6SN,LAT,Satori,INT,Blue,1,0,9,7,2,0,31,24,2,2,2,1
8212,LLN 2017 Opening Expansion,LLN,2016-09-03 01:28:00,Dash9 Gaming,Authority E-sports,Dash9 Gaming,19,6,62400,48400,1,3,1,0,0,0,10,3,2,0,2016,D9,INT,AES,INT,D9,INT,Blue,0,0,10,3,2,0,19,6,1,3,1,0
8213,LLN 2017 Opening Expansion,LLN,2016-09-03 01:29:00,Darkness Eagles Esports,Silver Crows,Silver Crows,13,22,57900,69500,0,4,0,1,0,1,2,9,0,1,2016,DEGs,INT,SC,INT,SC,INT,Red,1,0,9,2,1,0,22,13,4,0,1,0
8215,LLN 2017 Opening Expansion,LLN,2016-09-03 02:50:00,Silver Crows,Darkness Eagles Esports,Silver Crows,22,18,68600,63000,1,3,0,1,1,0,9,2,2,0,2016,SC,INT,DEGs,INT,SC,INT,Blue,1,0,9,2,2,0,22,18,1,3,0,1
8216,LLN 2017 Opening Expansion,LLN,2016-09-03 03:01:00,Authority E-sports,Dash9 Gaming,Dash9 Gaming,12,27,44700,60500,0,4,0,1,0,1,2,11,0,3,2016,AES,INT,D9,INT,D9,INT,Red,1,0,11,2,3,0,27,12,4,0,1,0
8217,LLN 2017 Opening Expansion,LLN,2016-09-03 03:06:00,6Sense,Satori,Satori,15,25,56700,66700,0,4,0,1,0,0,4,10,0,2,2016,6SN,LAT,Satori,INT,Satori,INT,Red,0,0,10,4,2,0,25,15,4,0,1,0
8233,LLN 2017 Opening Expansion,LLN,2016-09-03 19:12:00,Authority E-sports,Satori,Satori,7,14,57900,67300,1,2,0,0,0,1,3,10,0,1,2016,AES,INT,Satori,INT,Satori,INT,Red,1,0,10,3,1,0,14,7,2,1,0,0
8237,LLN 2017 Opening Expansion,LLN,2016-09-03 21:04:00,Satori,Authority E-sports,Satori,14,6,47500,36900,2,0,0,0,0,0,8,0,1,0,2016,Satori,INT,AES,INT,Satori,INT,Blue,0,0,8,0,1,0,14,6,2,0,0,0
8251,LLN 2017 Opening Expansion,LLN,2016-09-04 19:16:00,Satori,Silver Crows,Silver Crows,2,13,53700,65500,1,2,0,1,0,0,4,11,0,3,2016,Satori,INT,SC,INT,SC,INT,Red,0,0,11,4,3,0,13,2,2,1,1,0
8254,LLN 2017 Opening Expansion,LLN,2016-09-04 20:46:00,Silver Crows,Satori,Satori,15,23,48000,55500,3,0,0,1,0,0,3,9,0,1,2016,SC,INT,Satori,INT,Satori,INT,Red,0,0,9,3,1,0,23,15,0,3,1,0
8256,LLN 2017 Opening Expansion,LLN,2016-09-04 21:33:00,Satori,Silver Crows,Satori,22,22,78500,71100,4,1,2,0,0,0,10,3,4,0,2016,Satori,INT,SC,INT,Satori,INT,Blue,0,0,10,3,4,0,22,22,4,1,2,0
8278,LMS 2017 Spring Promotion,LMS,2016-09-11 08:49:00,Team Mist,NonHK,Team Mist,12,7,87000,68100,2,2,2,0,1,0,11,2,3,0,2016,TM,INT,NHK,INT,TM,INT,Blue,1,0,11,2,3,0,12,7,2,2,2,0
8279,LMS 2017 Spring Promotion,LMS,2016-09-11 09:53:00,NonHK,Team Mist,NonHK,17,4,63700,51300,3,0,1,0,0,0,11,3,2,0,2016,NHK,INT,TM,INT,NHK,INT,Blue,0,0,11,3,2,0,17,4,3,0,1,0
8280,LMS 2017 Spring Promotion,LMS,2016-09-11 11:03:00,Team Mist,NonHK,Team Mist,15,5,62400,52200,1,1,0,0,0,0,10,1,3,0,2016,TM,INT,NHK,INT,TM,INT,Blue,0,0,10,1,3,0,15,5,1,1,0,0
8282,LMS 2017 Spring Promotion,LMS,2016-09-11 11:42:00,NonHK,Team Mist,Team Mist,13,24,55200,71400,1,1,0,1,0,0,1,11,0,3,2016,NHK,INT,TM,INT,TM,INT,Red,0,0,11,1,3,0,24,13,1,1,1,0
8286,LLN 2017 Opening Expansion,LLN,2016-09-19 21:09:00,Infamous Gaming,Dash9 Gaming,Infamous Gaming,18,13,73500,64000,1,2,2,0,0,1,7,2,2,0,2016,IFG,INT,D9,INT,IFG,INT,Blue,0,1,7,2,2,0,18,13,1,2,2,0
8287,LLN 2017 Opening Expansion,LLN,2016-09-19 22:38:00,Dash9 Gaming,Infamous Gaming,Dash9 Gaming,21,5,74000,58600,2,2,2,0,1,0,10,2,2,0,2016,D9,INT,IFG,INT,D9,INT,Blue,1,0,10,2,2,0,21,5,2,2,2,0
8288,LLN 2017 Opening Expansion,LLN,2016-09-19 23:34:00,Infamous Gaming,Dash9 Gaming,Dash9 Gaming,12,21,49700,60400,2,2,0,1,0,1,2,9,0,1,2016,IFG,INT,D9,INT,D9,INT,Red,1,0,9,2,1,0,21,12,2,2,1,0
8289,LLN 2017 Opening Expansion,LLN,2016-09-20 00:29:00,Dash9 Gaming,Infamous Gaming,Infamous Gaming,7,20,48500,61900,0,3,0,0,0,0,1,10,0,1,2016,D9,INT,IFG,INT,IFG,INT,Red,0,0,10,1,1,0,20,7,3,0,0,0
8290,LLN 2017 Opening Expansion,LLN,2016-09-20 01:17:00,Infamous Gaming,Dash9 Gaming,Dash9 Gaming,19,18,72900,78100,2,1,0,1,0,0,5,8,1,1,2016,IFG,INT,D9,INT,D9,INT,Red,0,0,8,5,1,1,18,19,1,2,1,0
8291,LLN 2017 Opening Expansion,LLN,2016-09-20 21:36:00,Infamous Gaming,Satori,Infamous Gaming,19,6,63500,46300,4,0,2,0,1,0,11,1,4,0,2016,IFG,INT,Satori,INT,IFG,INT,Blue,1,0,11,1,4,0,19,6,4,0,2,0
8292,LLN 2017 Opening Expansion,LLN,2016-09-20 22:31:00,Satori,Infamous Gaming,Satori,25,6,64700,51300,4,0,1,0,0,0,9,1,1,0,2016,Satori,INT,IFG,INT,Satori,INT,Blue,0,0,9,1,1,0,25,6,4,0,1,0
8293,LLN 2017 Opening Expansion,LLN,2016-09-20 23:22:00,Infamous Gaming,Satori,Infamous Gaming,19,11,66000,57700,2,2,0,1,0,0,8,3,1,0,2016,IFG,INT,Satori,INT,IFG,INT,Blue,0,0,8,3,1,0,19,11,2,2,0,1
8294,LLN 2017 Opening Expansion,LLN,2016-09-21 00:16:00,Satori,Infamous Gaming,Infamous Gaming,9,20,68700,83100,2,2,0,1,0,0,3,9,0,1,2016,Satori,INT,IFG,INT,IFG,INT,Red,0,0,9,3,1,0,20,9,2,2,1,0
8394,LLN 2017 Opening,LLN,2017-01-16 23:15:00,Predators Esports,Infamous Gaming,Predators Esports,16,5,63000,45300,2,1,1,0,1,0,10,1,2,0,2017,PDS,LAT,IFG,INT,PDS,LAT,Blue,1,0,10,1,2,0,16,5,2,1,1,0
8395,LLN 2017 Opening,LLN,2017-01-16 23:55:00,Infamous Gaming,Predators Esports,Predators Esports,7,25,43900,64099,0,3,0,1,0,1,1,11,0,4,2017,IFG,INT,PDS,LAT,PDS,LAT,Red,1,0,11,1,4,0,25,7,3,0,1,0
8396,LLN 2017 Opening,LLN,2017-01-17 01:08:00,Just Toys Havoks,Lyon Gaming (2013 Latin American Team),Lyon Gaming (2013 Latin American Team),6,13,49600,62200,0,3,0,1,0,0,2,9,0,1,2017,JTH,INT,LYN,INT,LYN,INT,Red,0,0,9,2,1,0,13,6,3,0,1,0
8397,LLN 2017 Opening,LLN,2017-01-17 02:06:00,Lyon Gaming (2013 Latin American Team),Just Toys Havoks,Lyon Gaming (2013 Latin American Team),15,5,54100,37500,2,0,1,0,0,0,11,1,3,0,2017,LYN,INT,JTH,INT,LYN,INT,Blue,0,0,11,1,3,0,15,5,2,0,1,0
8403,LLN 2017 Opening,LLN,2017-01-17 23:01:00,Dash9 Gaming,INFINITY,INFINITY,6,17,45400,61700,0,3,0,1,0,0,1,11,0,3,2017,D9,INT,INF,LAT,INF,LAT,Red,0,0,11,1,3,0,17,6,3,0,1,0
8404,LLN 2017 Opening,LLN,2017-01-17 23:45:00,INFINITY,Dash9 Gaming,INFINITY,18,7,62100,52100,3,1,0,0,0,1,10,2,2,0,2017,INF,LAT,D9,INT,INF,LAT,Blue,0,1,10,2,2,0,18,7,3,1,0,0
8405,LLN 2017 Opening,LLN,2017-01-18 00:42:00,ZAGA Talent Gaming,Gaming Gaming,Gaming Gaming,10,20,61900,73600,1,3,0,2,0,0,4,9,0,2,2017,ZTG,INT,GG,LAT,GG,LAT,Red,0,0,9,4,2,0,20,10,3,1,2,0
8406,LLN 2017 Opening,LLN,2017-01-18 01:46:00,Gaming Gaming,ZAGA Talent Gaming,Gaming Gaming,20,15,82600,67000,3,2,2,0,0,0,11,5,3,0,2017,GG,LAT,ZTG,INT,GG,LAT,Blue,0,0,11,5,3,0,20,15,3,2,2,0
8412,LLN 2017 Opening,LLN,2017-01-18 22:58:00,Lyon Gaming (2013 Latin American Team),Infamous Gaming,Lyon Gaming (2013 Latin American Team),9,0,46500,29300,2,0,1,0,0,0,10,0,2,0,2017,LYN,INT,IFG,INT,LYN,INT,Blue,0,0,10,0,2,0,9,0,2,0,1,0
8413,LLN 2017 Opening,LLN,2017-01-18 23:49:00,Infamous Gaming,Lyon Gaming (2013 Latin American Team),Lyon Gaming (2013 Latin American Team),2,22,32900,56100,0,3,0,1,0,0,0,10,0,2,2017,IFG,INT,LYN,INT,LYN,INT,Red,0,0,10,0,2,0,22,2,3,0,1,0
8420,LLN 2017 Opening,LLN,2017-01-19 00:30:00,Just Toys Havoks,INFINITY,INFINITY,12,10,93500,91600,1,5,3,1,0,1,5,11,0,5,2017,JTH,INT,INF,LAT,INF,LAT,Red,1,0,11,5,5,0,10,12,5,1,1,3
8423,LLN 2017 Opening,LLN,2017-01-19 01:52:00,INFINITY,Just Toys Havoks,INFINITY,10,6,57400,47700,1,2,1,0,0,0,11,2,3,0,2017,INF,LAT,JTH,INT,INF,LAT,Blue,0,0,11,2,3,0,10,6,1,2,1,0
8426,EU LCS 2017 Spring,EU LCS,2017-01-19 15:47:00,Origen,H2k-Gaming,H2k-Gaming,7,13,56900,68100,0,2,0,2,0,0,2,11,0,2,2017,OG,EMEA,H2K,EMEA,H2K,EMEA,Red,0,0,11,2,2,0,13,7,2,0,2,0
8427,EU LCS 2017 Spring,EU LCS,2017-01-19 17:05:00,H2k-Gaming,Origen,H2k-Gaming,23,14,83800,75100,2,3,1,1,0,0,9,3,1,0,2017,H2K,EMEA,OG,EMEA,H2K,EMEA,Blue,0,0,9,3,1,0,23,14,2,3,1,1
8428,EU LCS 2017 Spring,EU LCS,2017-01-19 18:10:00,G2 Esports,Fnatic,G2 Esports,11,6,82500,68300,4,0,2,0,1,0,11,1,4,0,2017,G2,EMEA,FNC,EMEA,G2,EMEA,Blue,1,0,11,1,4,0,11,6,4,0,2,0
8429,EU LCS 2017 Spring,EU LCS,2017-01-19 19:30:00,Fnatic,G2 Esports,Fnatic,20,18,90900,91400,2,2,1,2,0,0,11,8,1,1,2017,FNC,EMEA,G2,EMEA,FNC,EMEA,Blue,0,0,11,8,1,1,20,18,2,2,1,2
8430,EU LCS 2017 Spring,EU LCS,2017-01-19 20:41:00,G2 Esports,Fnatic,G2 Esports,14,20,84700,80000,3,1,2,0,0,0,11,4,5,0,2017,G2,EMEA,FNC,EMEA,G2,EMEA,Blue,0,0,11,4,5,0,14,20,3,1,2,0
8431,CLS 2017 Opening,CLS,2017-01-19 21:10:00,Isurus,Hafnet eSports,Isurus,20,7,62500,46300,1,2,1,0,0,0,11,0,3,0,2017,ISG,LAT,HAF,LAT,ISG,LAT,Blue,0,0,11,0,3,0,20,7,1,2,1,0
8432,CLS 2017 Opening,CLS,2017-01-19 22:17:00,Hafnet eSports,Isurus,Isurus,6,15,41800,56900,0,3,0,1,0,1,1,11,0,3,2017,HAF,LAT,ISG,LAT,ISG,LAT,Red,1,0,11,1,3,0,15,6,3,0,1,0
8433,CLS 2017 Opening,CLS,2017-01-19 23:11:00,Furious Gaming,Rebirth eSports,Furious Gaming,13,6,60400,50500,1,3,1,0,0,0,8,2,1,0,2017,FG,LAT,RBT,LAT,FG,LAT,Blue,0,0,8,2,1,0,13,6,1,3,1,0
8434,CLS 2017 Opening,CLS,2017-01-20 00:32:00,Rebirth eSports,Furious Gaming,Furious Gaming,15,22,64000,72400,2,2,0,1,1,0,5,10,0,2,2017,RBT,LAT,FG,LAT,FG,LAT,Red,0,1,10,5,2,0,22,15,2,2,1,0
8437,LJL 2017 Spring,LJL,2017-01-20 10:43:00,Rampage,DetonatioN FocusMe,DetonatioN FocusMe,9,17,63300,70500,1,2,0,2,0,0,3,11,0,5,2017,RPG,JP,DFM,JP,DFM,JP,Red,0,0,11,3,5,0,17,9,2,1,2,0
8439,LJL 2017 Spring,LJL,2017-01-20 12:17:00,DetonatioN FocusMe,Rampage,DetonatioN FocusMe,23,17,78100,83700,3,2,0,2,0,0,9,8,2,1,2017,DFM,JP,RPG,JP,DFM,JP,Blue,0,0,9,8,2,1,23,17,3,2,0,2
8442,EU LCS 2017 Spring,EU LCS,2017-01-20 15:38:00,Misfits Gaming,Giants Gaming,Giants Gaming,12,17,78900,87900,1,3,0,2,0,0,5,11,0,3,2017,MSF,EMEA,GIA,EMEA,GIA,EMEA,Red,0,0,11,5,3,0,17,12,3,1,2,0
8443,EU LCS 2017 Spring,EU LCS,2017-01-20 17:06:00,Misfits Gaming,Giants Gaming,Misfits Gaming,14,4,52300,40800,3,0,1,0,0,0,8,1,1,0,2017,MSF,EMEA,GIA,EMEA,MSF,EMEA,Blue,0,0,8,1,1,0,14,4,3,0,1,0
8444,EU LCS 2017 Spring,EU LCS,2017-01-20 17:55:00,Misfits Gaming,Giants Gaming,Misfits Gaming,13,5,64700,58600,2,1,0,1,0,0,7,5,1,0,2017,MSF,EMEA,GIA,EMEA,MSF,EMEA,Blue,0,0,7,5,1,0,13,5,2,1,0,1
8445,EU LCS 2017 Spring,EU LCS,2017-01-20 18:52:00,Team Vitality,Unicorns of Love,Unicorns of Love,2,11,41800,51700,0,1,0,1,0,0,1,7,0,1,2017,VIT,EMEA,UOL,EMEA,UOL,EMEA,Red,0,0,7,1,1,0,11,2,1,0,1,0
8446,EU LCS 2017 Spring,EU LCS,2017-01-20 19:49:00,Unicorns of Love,Team Vitality,Unicorns of Love,17,21,65000,55100,2,0,1,0,0,0,11,2,2,0,2017,UOL,EMEA,VIT,EMEA,UOL,EMEA,Blue,0,0,11,2,2,0,17,21,2,0,1,0
8447,CLS 2017 Opening,CLS,2017-01-20 21:03:00,Last Kings,Kaos Latin Gamers,Last Kings,27,18,79200,65600,4,0,1,1,0,0,10,1,1,0,2017,LK,INT,KLG,LAT,LK,INT,Blue,0,0,10,1,1,0,27,18,4,0,1,1
8448,CLS 2017 Opening,CLS,2017-01-20 22:25:00,Kaos Latin Gamers,Last Kings,Last Kings,6,18,45300,59000,0,3,0,1,0,0,3,8,0,1,2017,KLG,LAT,LK,INT,LK,INT,Red,0,0,8,3,1,0,18,6,3,0,1,0
8449,NA LCS 2017 Spring,NA LCS,2017-01-20 22:41:00,TSM,Cloud9,Cloud9,12,20,69300,83100,3,2,1,1,0,0,5,11,0,1,2017,TSM,NA,C9,NA,C9,NA,Red,0,0,11,5,1,0,20,12,2,3,1,1
8450,CLS 2017 Opening,CLS,2017-01-20 23:24:00,Rebirth eSports,Isurus,Isurus,8,22,49700,65300,0,3,0,1,0,0,2,11,0,4,2017,RBT,LAT,ISG,LAT,ISG,LAT,Red,0,0,11,2,4,0,22,8,3,0,1,0
8451,NA LCS 2017 Spring,NA LCS,2017-01-21 00:09:00,Cloud9,TSM,Cloud9,24,10,69900,62600,4,0,0,1,1,0,8,2,2,0,2017,C9,NA,TSM,NA,C9,NA,Blue,1,0,8,2,2,0,24,10,4,0,0,1
8452,CLS 2017 Opening,CLS,2017-01-21 00:27:00,Isurus,Rebirth eSports,Isurus,23,10,58000,40900,0,1,1,0,1,0,10,2,2,0,2017,ISG,LAT,RBT,LAT,ISG,LAT,Blue,1,0,10,2,2,0,23,10,0,1,1,0
8453,NA LCS 2017 Spring,NA LCS,2017-01-21 01:11:00,Echo Fox,Phoenix1,Phoenix1,16,22,66300,68200,1,2,1,0,0,0,4,7,0,1,2017,FOX,NA,P1,NA,P1,NA,Red,0,0,7,4,1,0,22,16,2,1,0,1
8454,OPL 2017 Split 1,OPL,2017-01-21 01:48:00,Dire Wolves,Chiefs Esports Club,Dire Wolves,21,13,69800,56300,2,1,2,0,0,0,9,3,1,0,2017,DW,PCS,CHF,PCS,DW,PCS,Blue,0,0,9,3,1,0,21,13,2,1,2,0
8455,NA LCS 2017 Spring,NA LCS,2017-01-21 02:12:00,Phoenix1,Echo Fox,Phoenix1,13,8,46700,39200,1,1,1,0,0,0,7,2,1,0,2017,P1,NA,FOX,NA,P1,NA,Blue,0,0,7,2,1,0,13,8,1,1,1,0
8456,OPL 2017 Split 1,OPL,2017-01-21 04:59:00,Chiefs Esports Club,Dire Wolves,Chiefs Esports Club,19,7,58100,43400,0,3,1,0,0,0,10,0,2,0,2017,CHF,PCS,DW,PCS,CHF,PCS,Blue,0,0,10,0,2,0,19,7,0,3,1,0
8458,OPL 2017 Split 1,OPL,2017-01-21 05:52:00,Dire Wolves,Chiefs Esports Club,Chiefs Esports Club,23,29,81900,81000,2,3,1,1,1,0,7,6,0,1,2017,DW,PCS,CHF,PCS,CHF,PCS,Red,0,1,6,7,1,0,29,23,3,2,1,1
8461,OPL 2017 Split 1,OPL,2017-01-21 07:19:00,Team Exile5,Tainted Minds,Tainted Minds,19,31,61700,78600,1,3,0,2,0,0,1,10,0,1,2017,X5,PCS,TM,PCS,TM,PCS,Red,0,0,10,1,1,0,31,19,3,1,2,0
8462,LJL 2017 Spring,LJL,2017-01-21 07:42:00,SCARZ,Rascal Jester,Rascal Jester,11,20,63800,73000,1,3,0,2,0,0,3,9,0,1,2017,SZ,JP,RJ,JP,RJ,JP,Red,0,0,9,3,1,0,20,11,3,1,2,0
8466,OPL 2017 Split 1,OPL,2017-01-21 08:17:00,Tainted Minds,Team Exile5,Tainted Minds,28,4,54400,36700,1,0,1,0,1,0,10,0,1,0,2017,TM,PCS,X5,PCS,TM,PCS,Blue,1,0,10,0,1,0,28,4,1,0,1,0
8470,LJL 2017 Spring,LJL,2017-01-21 09:10:00,Rascal Jester,SCARZ,SCARZ,11,27,43400,55700,1,2,0,1,0,0,2,8,0,1,2017,RJ,JP,SZ,JP,SZ,JP,Red,0,0,8,2,1,0,27,11,2,1,1,0
8473,TCL 2017 Winter,TCL,2017-01-21 10:39:00,SuperMassive Esports,Dark Passage,SuperMassive Esports,13,4,58700,44000,3,0,1,0,0,0,9,0,2,0,2017,SUP,EMEA,DP,EMEA,SUP,EMEA,Blue,0,0,9,0,2,0,13,4,3,0,1,0
8474,LJL 2017 Spring,LJL,2017-01-21 10:40:00,SCARZ,Rascal Jester,Rascal Jester,10,23,51000,60100,1,3,0,2,0,0,3,9,0,2,2017,SZ,JP,RJ,JP,RJ,JP,Red,0,0,9,3,2,0,23,10,3,1,2,0
8478,TCL 2017 Winter,TCL,2017-01-21 11:41:00,Dark Passage,SuperMassive Esports,Dark Passage,19,11,68300,63900,2,2,0,1,0,0,8,4,1,0,2017,DP,EMEA,SUP,EMEA,DP,EMEA,Blue,0,0,8,4,1,0,19,11,2,2,0,1
8479,LJL 2017 Spring,LJL,2017-01-21 11:46:00,7th heaven,Unsold Stuff Gaming,Unsold Stuff Gaming,1,11,40400,56700,1,3,0,1,0,1,1,10,0,1,2017,7h,JP,USG,JP,USG,JP,Red,1,0,10,1,1,0,11,1,3,1,1,0
8483,LJL 2017 Spring,LJL,2017-01-21 12:33:00,Unsold Stuff Gaming,7th heaven,Unsold Stuff Gaming,16,5,69000,53900,2,2,1,1,0,0,11,2,4,0,2017,USG,JP,7h,JP,USG,JP,Blue,0,0,11,2,4,0,16,5,2,2,1,1
8484,TCL 2017 Winter,TCL,2017-01-21 12:50:00,Galatasaray Esports,Crew e-Sports Club,Galatasaray Esports,16,12,71300,62900,3,1,1,0,0,0,8,4,1,0,2017,GS,EMEA,CEC,EMEA,GS,EMEA,Blue,0,0,8,4,1,0,16,12,3,1,1,0
8488,TCL 2017 Winter,TCL,2017-01-21 13:54:00,Crew e-Sports Club,Galatasaray Esports,Crew e-Sports Club,17,6,55500,42800,3,0,1,0,0,0,10,2,2,0,2017,CEC,EMEA,GS,EMEA,CEC,EMEA,Blue,0,0,10,2,2,0,17,6,3,0,1,0
8489,EU LCS 2017 Spring,EU LCS,2017-01-21 14:48:00,Team ROCCAT,G2 Esports,G2 Esports,5,23,61300,78000,3,1,0,2,0,0,3,10,0,1,2017,ROC,EMEA,G2,EMEA,G2,EMEA,Red,0,0,10,3,1,0,23,5,1,3,2,0
8491,TCL 2017 Winter,TCL,2017-01-21 15:41:00,Galakticos,Fenerbahçe Esports,Fenerbahçe Esports,2,15,37000,56400,1,2,0,1,0,1,0,11,0,3,2017,GAL,EMEA,FB,EMEA,FB,EMEA,Red,1,0,11,0,3,0,15,2,2,1,1,0
8492,EU LCS 2017 Spring,EU LCS,2017-01-21 16:04:00,G2 Esports,Team ROCCAT,G2 Esports,16,3,71000,56700,4,0,1,0,0,0,11,3,2,0,2017,G2,EMEA,ROC,EMEA,G2,EMEA,Blue,0,0,11,3,2,0,16,3,4,0,1,0
8493,TCL 2017 Winter,TCL,2017-01-21 16:23:00,Fenerbahçe Esports,Galakticos,Galakticos,22,32,81300,90100,2,4,0,3,0,0,10,7,3,1,2017,FB,EMEA,GAL,EMEA,GAL,EMEA,Red,0,0,7,10,1,3,32,22,4,2,3,0
8495,EU LCS 2017 Spring,EU LCS,2017-01-21 17:06:00,H2k-Gaming,Splyce,H2k-Gaming,24,6,60600,45000,2,0,1,0,0,0,10,2,3,0,2017,H2K,EMEA,SPY,EMEA,H2K,EMEA,Blue,0,0,10,2,3,0,24,6,2,0,1,0
8496,CBLOL 2017 Split 1,CBLOL,2017-01-21 17:52:00,INTZ,CNB e-Sports Club,INTZ,8,9,59400,47900,3,0,2,0,1,0,11,0,3,0,2017,ITZ,BR,CNB,BR,ITZ,BR,Blue,1,0,11,0,3,0,8,9,3,0,2,0
8497,EU LCS 2017 Spring,EU LCS,2017-01-21 18:10:00,Splyce,H2k-Gaming,H2k-Gaming,10,22,44500,56200,0,3,0,1,0,0,1,9,0,2,2017,SPY,EMEA,H2K,EMEA,H2K,EMEA,Red,0,0,9,1,2,0,22,10,3,0,1,0
8498,CBLOL 2017 Split 1,CBLOL,2017-01-21 18:55:00,CNB e-Sports Club,INTZ,CNB e-Sports Club,22,4,61500,47200,1,2,1,0,1,0,9,3,1,0,2017,CNB,BR,ITZ,BR,CNB,BR,Blue,1,0,9,3,1,0,22,4,1,2,1,0
8499,NA LCS 2017 Spring,NA LCS,2017-01-21 19:12:00,Counter Logic Gaming,Team Liquid,Team Liquid,11,18,58700,66700,1,3,1,1,0,0,3,8,0,2,2017,CLG,NA,TL,NA,TL,NA,Red,0,0,8,3,2,0,18,11,3,1,1,1
8500,NA LCS 2017 Spring,NA LCS,2017-01-21 19:33:00,Team EnVyUs,FlyQuest,FlyQuest,4,12,45200,56100,0,3,0,1,0,0,2,10,0,2,2017,NV,NA,FLY,NA,FLY,NA,Red,0,0,10,2,2,0,12,4,3,0,1,0
8501,NA LCS 2017 Spring,NA LCS,2017-01-21 21:24:00,FlyQuest,Team EnVyUs,FlyQuest,18,15,68800,60700,1,3,1,0,0,0,10,3,2,0,2017,FLY,NA,NV,NA,FLY,NA,Blue,0,0,10,3,2,0,18,15,1,3,1,0
8502,NA LCS 2017 Spring,NA LCS,2017-01-21 21:25:00,Team Liquid,Counter Logic Gaming,Team Liquid,16,11,73400,73000,0,4,1,1,0,0,7,9,1,1,2017,TL,NA,CLG,NA,TL,NA,Blue,0,0,7,9,1,1,16,11,0,4,1,1
