,Team,ID,Nationality,Country,Birthdate,IsRetired,Region
913,,,,,,,CIS
914,,,,,,,MENA
915,,,,,,,North America
916,,,,,,,CIS
917,,,,,,,Oceania
918,,,,,,,LMS
919,,,,,,,SEA
920,,,,,,,SEA
921,,,,,,,China
922,,,,,,,Japan
923,,,,,,,CIS
924,,,,,,,Brazil
925,,,,,,,Brazil
926,,,,,,,North America
927,,,,,,,Latin America
928,,,,,,,North America
929,,,,,,,North America
930,,,,,,,Latin America
931,,,,,,,LAS
932,,,,,,,North America
933,,,,,,,Europe
934,,,,,,,Latin America
935,,,,,,,Latin America
936,,,,,,,Europe
937,,,,,,,Latin America
938,,,,,,,Europe
939,,,,,,,Europe
940,,,,,,,LMS
941,,,,,,,MENA
942,,,,,,,Europe
943,,,,,,,Europe
944,,,,,,,Europe
945,,,,,,,Europe
946,,,,,,,Europe
947,,,,,,,Europe
948,,,,,,,Europe
949,,,,,,,Europe
950,,,,,,,Europe
951,,,,,,,Europe
952,,,,,,,Europe
953,,,,,,,Europe
954,,,,,,,Europe
955,,,,,,,Europe
956,,,,,,,Europe
957,,,,,,,Europe
958,,,,,,,Europe
959,,,,,,,Europe
960,,,,,,,Europe
961,,,,,,,Europe
962,,,,,,,Europe
963,,,,,,,Europe
964,,,,,,,Europe
965,,,,,,,Europe
966,,,,,,,Europe
967,,,,,,,Europe
968,,,,,,,Europe
969,,,,,,,Europe
970,,,,,,,Europe
971,,,,,,,Europe
972,,,,,,,Europe
973,,,,,,,Oceania
974,,,,,,,Turkey
975,,,,,,,Europe
976,,,,,,,Europe
977,,,,,,,Europe
978,,,,,,,Europe
979,,,,,,,North America
980,,,,,,,Europe
981,,,,,,,Europe
982,,,,,,,MENA
983,,,,,,,Europe
984,,,,,,,Europe
985,,,,,,,Europe
986,,,,,,,Europe
987,,,,,,,Europe
988,,,,,,,Europe
989,,,,,,,Europe
990,,,,,,,Europe
991,,,,,,,Europe
992,,,,,,,Europe
993,,,,,,,Europe
994,,,,,,,Europe
995,,,,,,,Europe
996,,,,,,,Europe
997,,,,,,,Europe
998,,,,,,,Europe
999,,,,,,,Europe
1000,,,,,,,Europe
1001,,,,,,,Europe
1002,,,,,,,Europe
1003,,,,,,,Europe
1004,,,,,,,Europe
1005,,,,,,,Europe
1006,,,,,,,Europe
1007,,,,,,,Europe
1008,,,,,,,Europe
1009,,,,,,,Europe
1010,,,,,,,Europe
1011,,,,,,,Europe
1012,,,,,,,Europe
1013,,,,,,,Europe
1014,,,,,,,Europe
1015,,,,,,,Europe
1016,,,,,,,Europe
1017,,,,,,,Europe
1018,,,,,,,Europe
1019,,,,,,,Europe
1020,,,,,,,Europe
1021,,,,,,,Europe
1022,,,,,,,Europe
1023,,,,,,,Europe
1024,,,,,,,Europe
1025,,,,,,,Europe
1026,,,,,,,Europe
1027,,,,,,,Europe
1028,,,,,,,Europe
1029,,,,,,,Europe
1030,,,,,,,Europe
1031,,,,,,,Europe
1032,,,,,,,Europe
1033,,,,,,,Europe
1034,,,,,,,Europe
1035,,,,,,,Europe
1036,,,,,,,Europe
1037,,,,,,,Europe
1038,,,,,,,Europe
1039,,,,,,,Europe
1040,,,,,,,Europe
1041,,,,,,,Europe
1042,,,,,,,Europe
