,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
3576,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-15 16:00:00,Rogue (European Team),Misfits Gaming,1,0,1
3577,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-15 17:00:00,Team BDS,Excel Esports,1,0,1
3578,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-15 18:00:00,SK Gaming,MAD Lions,1,0,1
3579,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-15 19:00:00,G2 Esports,Astralis,1,0,1
3580,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-15 20:00:00,Team Vitality,Fnatic,0,1,2
2580,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-15 21:30:00,Team Liquid,Dignitas,1,0,1
2581,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-15 22:30:00,Immortals,Counter Logic Gaming,0,1,2
2582,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-15 23:30:00,Evil Geniuses.NA,Team Liquid,1,0,1
2583,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-16 00:30:00,Immortals,Dignitas,0,1,2
2584,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-16 01:30:00,Evil Geniuses.NA,Counter Logic Gaming,1,0,1
7667,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-16 07:00:00,Oh My God,Invictus Gaming,2,0,1
5089,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-16 08:00:00,Hanwha Life Esports,Fredit BRION,1,2,2
7668,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-16 09:00:00,Team WE,Victory Five,1,2,2
5090,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-16 11:00:00,DWG KIA,Gen.G,1,2,2
7669,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-16 11:00:00,Weibo Gaming,Bilibili Gaming,1,2,2
3581,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-16 16:00:00,Team BDS,Misfits Gaming,0,1,2
3582,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-16 17:00:00,Team Vitality,Excel Esports,0,1,2
3583,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-16 18:00:00,Rogue (European Team),Astralis,1,0,1
3584,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-16 19:00:00,SK Gaming,Fnatic,0,1,2
3585,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-16 20:00:00,MAD Lions,G2 Esports,1,0,1
2585,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-16 20:30:00,FlyQuest,100 Thieves,1,0,1
2586,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-16 21:30:00,Team Liquid,Counter Logic Gaming,1,0,1
2587,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-16 22:30:00,TSM,Cloud9,0,1,2
2588,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-16 23:30:00,Evil Geniuses.NA,Immortals,1,0,1
2589,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-17 00:30:00,Golden Guardians,FlyQuest,0,1,2
7670,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-17 09:00:00,Royal Never Give Up,ThunderTalk Gaming,2,0,1
7671,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-17 11:00:00,Anyone's Legend,FunPlus Phoenix,0,2,2
7672,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-18 09:00:00,LGD Gaming,JD Gaming,0,2,2
7673,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-18 11:00:00,Ultra Prime,EDward Gaming,1,2,2
5091,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-19 08:00:00,Nongshim RedForce,DWG KIA,2,1,1
7674,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-19 09:00:00,Team WE,Top Esports,1,2,2
5092,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-19 11:00:00,KT Rolster,Hanwha Life Esports,2,0,1
7675,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-19 11:00:00,LNG Esports,Invictus Gaming,2,0,1
5093,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-20 08:00:00,DRX,T1,0,2,2
7676,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-20 09:00:00,Rare Atom,Victory Five,1,2,2
5094,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-20 11:00:00,Fredit BRION,Gen.G,0,2,2
7677,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-20 11:00:00,Oh My God,Bilibili Gaming,1,2,2
7678,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-21 07:00:00,Ultra Prime,LGD Gaming,2,1,1
5095,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-21 08:00:00,Liiv SANDBOX,Kwangdong Freecs,0,2,2
7679,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-21 09:00:00,Royal Never Give Up,Anyone's Legend,2,1,1
7680,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-21 11:00:00,ThunderTalk Gaming,Weibo Gaming,1,2,2
5096,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-21 11:00:00,KT Rolster,Nongshim RedForce,1,2,2
3586,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-21 17:00:00,Misfits Gaming,Excel Esports,1,0,1
3587,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-21 18:00:00,Fnatic,Astralis,1,0,1
3588,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-21 19:00:00,SK Gaming,G2 Esports,0,1,2
3589,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-21 20:00:00,Team Vitality,Team BDS,1,0,1
3590,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-21 21:00:00,Rogue (European Team),MAD Lions,1,0,1
2590,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-21 22:30:00,Counter Logic Gaming,Dignitas,1,0,1
2591,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-21 23:30:00,Cloud9,100 Thieves,0,1,2
2592,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-22 00:30:00,Team Liquid,Immortals,1,0,1
2593,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-22 01:30:00,TSM,Golden Guardians,0,1,2
2594,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-22 02:30:00,Evil Geniuses.NA,Dignitas,1,0,1
7681,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-22 07:00:00,LNG Esports,Team WE,2,0,1
5097,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-22 08:00:00,DWG KIA,Fredit BRION,2,0,1
7682,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-22 09:00:00,JD Gaming,FunPlus Phoenix,2,1,1
5098,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-22 11:00:00,Gen.G,Hanwha Life Esports,2,1,1
15718,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-22 11:00:00,NASR eSports Turkey,Galatasaray Esports,0,1,2
7683,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-22 11:00:00,EDward Gaming,Oh My God,2,0,1
15719,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-22 12:00:00,Team AURORA,Fenerbahçe Esports,1,0,1
15720,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-22 13:00:00,Galakticos,5 Ronin,0,1,2
15721,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-22 14:00:00,SuperMassive Blaze,Beşiktaş Esports,1,0,1
15722,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-22 15:00:00,Istanbul Wildcats,Dark Passage,0,1,2
3591,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-22 16:00:00,SK Gaming,Excel Esports,0,1,2
9176,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-22 16:00:00,LOUD,FURIA,1,0,1
3592,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-22 17:00:00,MAD Lions,Astralis,1,0,1
9177,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-22 17:00:00,Netshoes Miners,Flamengo Esports,1,0,1
9178,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-22 18:00:00,KaBuM! Esports,INTZ,1,0,1
