Team,Team_abbr,Region_code
Cream Esports,CRM,LAT
Cream Real Betis,BTS,EMEA
Cremas Esports,CRE,LAT
Crest Gaming Act,CGA,JP
Crest Gaming Act Academy,CGA.A,JP
Crew e-Sports Club,CEC,EMEA
Crimson Gaming,CRM,PCS
CrossGaming,CG,INT
CrowCrowd,CC,INT
Cruzados Esports,UC,LAT
Cruzeiro Academy,CRZ.A,BR
Cruzeiro eSports,CRZ,BR
Crvena zvezda Esports,CZV,EMEA
Crypto Esports,CRY,EMEA
Crypto Esports.CIS,CRY,INT
Cryptova,OVA,EMEA
Crystal Cave Gaming Emerald,CCGE,NA
CSG Gaming,CSG,INT
CST Team (幼華戰龍),CST,PCS
CTBC Flying Oyster,CFO,PCS
CTRL PLAY,CPT,INT
CTRL PLAY Academy,CPT.A,INT
CTU Pathos,CTU P,KR
Cube Adonis,ADN,VN
Curse Academy,CA,NA
Cursed Rage,CSR,INT
CUT Esports,CUT,INT
Cyber Gamer e-Sports,CGE,BR
Cyber Gaming,CG,EMEA
Cyber Gaming Academy,CG.A,EMEA
Cyber Wolves,CWE,EMEA
Cyberground Gaming,CGG,EMEA
Cyberground Gaming Academy,CGG.A,EMEA
Cyborg Factory,CGF,EMEA
Cycle Esports,CYL,INT
Cyclone,CL,JP
Cyzone,CYZ,PCS
Czas na zasady,CNZ,EMEA
Czeska Husaria,CZH,EMEA
D-City Gaming Stars,DCG,EMEA
D-City Gaming Stars Gold,DCG.G,EMEA
D7G Esports Club,D7G,CN
Da Dancing Demons,D3,LAT
Dadslammers,DAD,NA
Dai Dai Gaming,DaiDai,BR
DAN Gaming,DAN,CN
Dare Black,DARE.B,NA
Dare Gaming,DARE,NA
Dare White,DARE.W,NA
Dark Allegiance,DA,NA
Dark Crows,DCR,LAT
Dark Horse,DHX,LAT
Dark Matter,SNDM,NA
Dark Passage,DP,EMEA
Dark Passage Academy,DP.A,EMEA
Dark Passage White,DPW,EMEA
Dark Quality,DQT,LAT
Dark Tigers,DTG,EMEA
Dark Tigers Academy,DTG.A,EMEA
Dark Wolves,DW,KR
Dark Zone,DZ,EMEA
Darkness Eagles Esports,DEGs,INT
DarkSpawn Gaming,DSG,EMEA
DarlingYou,DLY,INT
Dash9 Gaming,D9,INT
Dawn Esports,DWN,NA
Dawn Esports Blaze,DWNB,NA
Dawn Esports Quake,DWNQ,NA
Dawn Esports Shock,DWNS,NA
Dawn of Stars,DoS,EMEA
DayDreamers,DD,EMEA
Dead Rabbits Club,DR,EMEA
Deep Cross Gaming,DCG,PCS
Defenders (防衛者),DFD,INT
DeftCarry,DEFT,INT
Defusekids,DK,EMEA
Dejice,Dejice,EMEA
Deliverance Esports,DVE,LAT
Deliverance Esports Peru,DVE.P,LAT
Delta Five,DT5,EMEA
Delta Fox,DFX,NA
DELTALAND,DLT,EMEA
Demise,DMS,EMEA
Demise Academy,DMS.A,EMEA
Demolition Falcons,DF,EMEA
DengKaiLi Game Team,DKL,CN
Denial eSports,DNL,NA
Denial eSports.East,DNL.E,NA
Denial eSports.Europe,DNL.EU,EMEA
Departed,DPD,EMEA
Depor Cali Legends,DCL,LAT
Des Moines DMG,DMG,NA
Descuydado Aucas Esports,DSC,LAT
Destined For Glory,DFGL,NA
Determined Gaming,DTG,NA
DetonatioN FocusMe,DFM,JP
DetonatioN FocusMe Academy,DFM.A,JP
DetonatioN Rising,DNR,JP
DeToNator,DTN,JP
devils.one,DV1,EMEA
Dewish Team,DWT,PCS
Dexterity Team,deX,BR
Diablo Chairs,DC,EMEA
Diabolus Esports,DBL,EMEA
Diamant Esports,DIA,EMEA
Diamond Doves,DD,LAT
Diamond Team,Diamond,PCS
Different Dimension,DD,EMEA
Different Dimension Blue,DD B,EMEA
Digital Paradox,DGPX,EMEA
Dignitas,DIG,NA
Dignitas Academy,DIG.A,NA
Dignitas Challengers,DIGC,NA
Dignitas Mirage,DIG.M,NA
Dimegio Club,DMG,EMEA
Dinka Never Homeless Again,DNHA,NA
Dire Cubs,DC,PCS
Dire Wolves,DW,PCS
Direct Rising eSports,DRE,EMEA
Dirt Nap Gaming,DNG,NA
Disguised,DSG,NA
Divine Vendetta,DV,INT
DIVIZON,DIV,EMEA
DJ Team (稻江哈士奇),DJT,PCS
DK Crew,DK,NA
DKB Diamonds,DKB,EMEA
DnH Advance,DnH.ADV,INT
Dolphins,DOL,INT
Dom Spokojnej Starości,DSS,EMEA
Domino Computer,DCT,EMEA
Domino esports,DMN,EMEA
Dominus Esports,DMO,CN
Dominus Esports Young,DMOY,CN
Domme Jongens,DOM,EMEA
DomoSoCute,DSC,INT
Double Crunch Team Italy,DCTI,EMEA
DoubleBuff,DBB,NA
Douyin Tony Top,DTT,NA
Doxa Gaming,DOXA,EMEA
DP5 Makios,DP5M,LAT
Dplus Esports Academy,DEA,KR
Dplus KIA,DK,KR
Dplus KIA  Academy,DK.A,KR
Dplus KIA Challengers,DK.C,KR
Dragon Army,DA,INT
Dragon Army Academy,DA.A,INT
Dragon Gate Team,DG,INT
Dragon Team,Dragon,INT
DragonBorns,DB,EMEA
Dragonfly Gaming,DFG,JP
Dragons E.C.,DRG,EMEA
Dramatik Gaming,DRMTK,NA
Dramatik Royal,DKR,NA
Dream Catcher Gaming,DCG,INT
Dream or Reality,DoR,INT
Dream Team,DT,NA
Dream VGirls,DVG,CN
DreamCatcher,DC,CN
DREN Esports,DREN,EMEA
Dropz Esports,DRZ,EMEA
Druidz E-Sport Europe,Druidz EU,EMEA
DRX,DRX,KR
DRX Academy,DRX.A,KR
DRX Challengers,DRX.C,KR
DS Gaming,DS,CN
Dsyre Esports,DSYR,EMEA
Duck In a Box,DIAB,PCS
Ducks on Fire,DoF,INT
Dulcet Essence,eS,PCS
Dusty,DY,EMEA
Dutch Community Team,DCT,EMEA
Dylema Gaming,DYL,LAT
Dynamo Eclot,DNE,EMEA
Dynamo Eclot Academy,DNE.A,EMEA
Dynamo Esports,DNM,EMEA
Dynasty,DYN,EMEA
Dynasty Academy,DYN.A,EMEA
Dynasty Gaming,DNS,INT
Đạt Gaming,DG,VN
E WIE EINFACH E-SPORTS,EWI,EMEA
e-Champ Gaming,ECG,BR
E-corp Gaming,EC,EMEA
E-corp Gentle,ECG,EMEA
e-Meryci,eM,EMEA
e-mFire,EMF,KR
E-nsane Gaming,E-NS,EMEA
e-Sports Dragons Pro,EDP,INT
e.Hub United,EHU,PCS
e.o.s Gaming,EOS,PCS
E9Sports,E9S,INT
Eanix,ENX,NA
Earth Revolution Gaming,ERG,EMEA
EAS Team ESCA Gaming,EAS,EMEA
Eat Sleep Game,EAT,KR
EBD LEGENDs,EBD,INT
EBRO,EBG,LAT
Echo Fox,FOX,NA
Echo Fox Academy,FOX.A,NA
Eclipse Gaming,ECG,LAT
Eclypsia,EC,EMEA
Eclypsia.Luna,EC,EMEA
ECORP,ECP,EMEA
Edelweiss Europe,EDW.EU,EMEA
EDG Youth Team,EDGY,CN
EDward Esports,EDE,CN
EDward Gaming,EDG,CN
eEriness,eE,EMEA
EFIVE Esports,E5,EMEA
EFS,EFS,KR
EGN Esports,EGN,EMEA
EGN Esports Academy,EGN.A,EMEA
Ego Geniuses,EGO,NA
EGZ Esports,EGZ,INT
EHOME,EHOME,CN
Eintracht Frankfurt,SGE,EMEA
Eintracht Spandau,EINS,EMEA
eKoVy,EKV,EMEA
ELaB x EXP,EXP,KR
Elan DEspoir,EDE,EMEA
Element Mystic,EM,KR
Elementalist,EL,EMEA
Elementaries Esport Club,ELMT,EMEA
Elements,EL,EMEA
Elements Pro Gaming,EPG,INT
Elite Masters,eM,INT
Elite Wolves,EW,INT
EloHell,EH,EMEA
ELR Gaming,ELR,LAT
ELROY Gaming,ELG,KR
Elyandra Esport,EYA,EMEA
Elysium Gaming,ELY,EMEA
Ember,MBR,NA
Emissary Esports,EMS,NA
eMonkeyz,EMZ,EMEA
Emperor Gaming,ERG,EMEA
Emprox,EMP,PCS
Empyreans,EMPY,NA
ENCE,ENCE,EMEA
Enclave,ENC,EMEA
ENEMI3S,NM3,EMEA
Enemy,NME,NA
Energy Pacemaker,EP,CN
Energy Pacemaker.All,EPA,CN
Energy Pacemaker.Carries,EPC,CN
Energy Pacemaker.YCSM,EP.Y,INT
Enix Esports,ENIX,INT
eNsure,eN,EMEA
Entropiq,EIQ,EMEA
EPIC-DUDES,ED,EMEA
EPIK Gamer,EPIK,NA
Epiphany Bolt,EB,EMEA
Epsilon Esports,EPS,EMEA
ERKO Esports,ERKO,EMEA
ES Sharks,ESS,KR
ESC Ever,ESC,KR
ESC Gaming,ESC,EMEA
ESC Gaming Europe,ESC EU,EMEA
ESC Gaming Omega,ESC,EMEA
ESC Shane,ESC,KR
ESCORT P9,P9,EMEA
ESCORT P9 Academy,P9.A,EMEA
Espectro eSports,EPT,EMEA
Espergærde eSport,ESP,EMEA
Esport Academy,EAC,EMEA
Esport Empire,EE,EMEA
eSport Rhein-Neckar,ERN,EMEA
