,,,,,,,,,,,,,,,,,,,,,EXPECTED,,,,,,,,,,,,,,ACTUAL,,,,,,,,,,,,,
,Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year,Region_T1,Team_T1,Region_code_T1,Region_T2,Team_T2,Region_code_T2,Region_Win,Team_Win,Region_code_Win,Blue/Red,G2,FNC,MAD,RGE,VIT,MSF,SK,XL,S04,OG,AST,BDS,SPY,TH,G2,FNC,MAD,RGE,VIT,MSF,SK,XL,S04,OG,AST,BDS,SPY,TH
16653,LEC 2019 Spring,LEC,08/02/2019 17:35,45:50:00,SK Gaming,Splyce,0,1,Splyce,2019,EMEA,SK,EMEA,Europe,SPY,EMEA,Europe,SPY,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16654,LEC 2019 Spring,LEC,08/02/2019 18:50,31:36:00,Origen,Rogue (European Team),1,0,Origen,2019,Europe,OG,EMEA,Europe,RGE,EMEA,Europe,OG,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16655,LEC 2019 Spring,LEC,08/02/2019 19:49,28:04:00,Fnatic,Excel Esports,1,0,Fnatic,2019,EMEA,FNC,EMEA,EMEA,XL,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16656,LEC 2019 Spring,LEC,08/02/2019 20:53,27:32:00,G2 Esports,Team Vitality,1,0,G2 Esports,2019,EMEA,G2,EMEA,EMEA,VIT,EMEA,EMEA,G2,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16674,LEC 2019 Spring,LEC,09/02/2019 15:18,30:01:00,FC Schalke 04 Esports,Origen,0,1,Origen,2019,EMEA,S04,EMEA,Europe,OG,EMEA,Europe,OG,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16676,LEC 2019 Spring,LEC,09/02/2019 16:46,33:08:00,SK Gaming,Rogue (European Team),1,0,SK Gaming,2019,EMEA,SK,EMEA,Europe,RGE,EMEA,EMEA,SK,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16678,LEC 2019 Spring,LEC,09/02/2019 17:44,45:09:00,Splyce,Misfits Gaming,1,0,Splyce,2019,Europe,SPY,EMEA,Europe,MSF,EMEA,Europe,SPY,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16679,LEC 2019 Spring,LEC,09/02/2019 18:55,32:58:00,Team Vitality,Excel Esports,1,0,Team Vitality,2019,EMEA,VIT,EMEA,EMEA,XL,EMEA,EMEA,VIT,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16681,LEC 2019 Spring,LEC,09/02/2019 20:00,20:35,G2 Esports,Fnatic,1,0,G2 Esports,2019,EMEA,G2,EMEA,EMEA,FNC,EMEA,EMEA,G2,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16754,LEC 2019 Spring,LEC,15/02/2019 16:31,34:12:00,Fnatic,Splyce,1,0,Fnatic,2019,EMEA,FNC,EMEA,Europe,SPY,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16755,LEC 2019 Spring,LEC,15/02/2019 17:46,29:25:00,Origen,Excel Esports,1,0,Origen,2019,Europe,OG,EMEA,EMEA,XL,EMEA,Europe,OG,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16756,LEC 2019 Spring,LEC,15/02/2019 18:45,28:38:00,Team Vitality,SK Gaming,0,1,SK Gaming,2019,EMEA,VIT,EMEA,EMEA,SK,EMEA,EMEA,SK,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16757,LEC 2019 Spring,LEC,15/02/2019 19:40,34:08:00,Rogue (European Team),FC Schalke 04 Esports,0,1,FC Schalke 04 Esports,2019,Europe,RGE,EMEA,EMEA,S04,EMEA,EMEA,S04,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16758,LEC 2019 Spring,LEC,15/02/2019 20:44,28:39:00,Misfits Gaming,G2 Esports,0,1,G2 Esports,2019,Europe,MSF,EMEA,EMEA,G2,EMEA,EMEA,G2,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16793,LEC 2019 Spring,LEC,16/02/2019 15:35,31:13:00,SK Gaming,Fnatic,1,0,SK Gaming,2019,EMEA,SK,EMEA,EMEA,FNC,EMEA,EMEA,SK,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16796,LEC 2019 Spring,LEC,16/02/2019 16:39,42:10:00,Splyce,Excel Esports,1,0,Splyce,2019,Europe,SPY,EMEA,EMEA,XL,EMEA,Europe,SPY,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16799,LEC 2019 Spring,LEC,16/02/2019 17:52,27:43:00,FC Schalke 04 Esports,Team Vitality,0,1,Team Vitality,2019,EMEA,S04,EMEA,EMEA,VIT,EMEA,EMEA,VIT,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16802,LEC 2019 Spring,LEC,16/02/2019 18:46,27:11:00,Misfits Gaming,Rogue (European Team),0,1,Rogue (European Team),2019,Europe,MSF,EMEA,Europe,RGE,EMEA,Europe,RGE,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16803,LEC 2019 Spring,LEC,16/02/2019 19:41,33:09:00,G2 Esports,Origen,0,1,Origen,2019,EMEA,G2,EMEA,Europe,OG,EMEA,Europe,OG,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16902,LEC 2019 Spring,LEC,22/02/2019 16:26,23:07,G2 Esports,FC Schalke 04 Esports,1,0,G2 Esports,2019,EMEA,G2,EMEA,EMEA,S04,EMEA,EMEA,G2,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16903,LEC 2019 Spring,LEC,22/02/2019 17:30,43:03:00,Excel Esports,Rogue (European Team),0,1,Rogue (European Team),2019,EMEA,XL,EMEA,Europe,RGE,EMEA,Europe,RGE,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16904,LEC 2019 Spring,LEC,22/02/2019 18:37,27:42:00,Splyce,Team Vitality,0,1,Team Vitality,2019,Europe,SPY,EMEA,EMEA,VIT,EMEA,EMEA,VIT,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16905,LEC 2019 Spring,LEC,22/02/2019 19:32,42:12:00,SK Gaming,Misfits Gaming,0,1,Misfits Gaming,2019,EMEA,SK,EMEA,Europe,MSF,EMEA,Europe,MSF,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16906,LEC 2019 Spring,LEC,22/02/2019 20:40,28:13:00,Fnatic,Origen,1,0,Fnatic,2019,EMEA,FNC,EMEA,Europe,OG,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16942,LEC 2019 Spring,LEC,23/02/2019 15:31,29:09:00,Excel Esports,G2 Esports,0,1,G2 Esports,2019,EMEA,XL,EMEA,EMEA,G2,EMEA,EMEA,G2,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16945,LEC 2019 Spring,LEC,23/02/2019 16:39,37:18:00,SK Gaming,FC Schalke 04 Esports,1,0,SK Gaming,2019,EMEA,SK,EMEA,EMEA,S04,EMEA,EMEA,SK,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16948,LEC 2019 Spring,LEC,23/02/2019 17:43,42:57:00,Origen,Misfits Gaming,0,1,Misfits Gaming,2019,Europe,OG,EMEA,Europe,MSF,EMEA,Europe,MSF,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
