,Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year
840,EU Regional Finals Season 2,WCS,2012-08-18 10:00:00,33:10,Moscow Five,Fnatic,1,0,Moscow Five,2012
841,EU Regional Finals Season 2,WCS,2012-08-18 11:00:00,39:56,Fnatic,Moscow Five,1,1,Fnatic,2012
842,EU Regional Finals Season 2,WCS,2012-08-18 12:00:00,37:31,Moscow Five,Fnatic,2,1,Moscow Five,2012
843,EU Regional Finals Season 2,WCS,2012-08-18 13:00:00,42:59,Counter Logic Gaming Europe,SK Gaming,0,1,SK Gaming,2012
844,EU Regional Finals Season 2,WCS,2012-08-18 14:00:00,47:30,SK Gaming,Counter Logic Gaming Europe,2,0,SK Gaming,2012
845,EU Regional Finals Season 2,WCS,2012-08-19 10:00:00,42:29,Counter Logic Gaming Europe,Fnatic,1,0,Counter Logic Gaming Europe,2012
846,EU Regional Finals Season 2,WCS,2012-08-19 11:00:00,29:34,Fnatic,Counter Logic Gaming Europe,0,2,Counter Logic Gaming Europe,2012
847,EU Regional Finals Season 2,WCS,2012-08-19 12:00:00,28:48,Moscow Five,SK Gaming,1,0,Moscow Five,2012
848,EU Regional Finals Season 2,WCS,2012-08-19 13:00:00,27:42,SK Gaming,Moscow Five,0,2,Moscow Five,2012
926,Korea Regional Finals Season 2,WCS,2012-09-12 10:30:00,35:41,Incredible Miracle,CJ Entus,1,0,Incredible Miracle,2012
927,Korea Regional Finals Season 2,WCS,2012-09-12 11:15:00,37:45,CJ Entus,Incredible Miracle,1,1,CJ Entus,2012
928,Korea Regional Finals Season 2,WCS,2012-09-12 12:00:00,30:48,Incredible Miracle,CJ Entus,2,1,Incredible Miracle,2012
929,Korea Regional Finals Season 2,WCS,2012-09-12 12:45:00,26:32,CJ Entus,Incredible Miracle,1,3,Incredible Miracle,2012
930,Korea Regional Finals Season 2,WCS,2012-09-14 10:30:00,40:32,Incredible Miracle,NaJin Sword,1,0,Incredible Miracle,2012
931,Korea Regional Finals Season 2,WCS,2012-09-14 11:15:00,35:50,NaJin Sword,Incredible Miracle,1,1,NaJin Sword,2012
932,Korea Regional Finals Season 2,WCS,2012-09-14 12:00:00,37:34,Incredible Miracle,NaJin Sword,1,2,NaJin Sword,2012
933,Korea Regional Finals Season 2,WCS,2012-09-14 12:45:00,31:47,NaJin Sword,Incredible Miracle,3,1,NaJin Sword,2012
934,Korea Regional Finals Season 2,WCS,2012-09-19 10:30:00,29:06,Xenics Storm,NaJin Sword,0,1,NaJin Sword,2012
935,Korea Regional Finals Season 2,WCS,2012-09-19 11:15:00,26:52,NaJin Sword,Xenics Storm,2,0,NaJin Sword,2012
936,Korea Regional Finals Season 2,WCS,2012-09-19 12:00:00,27:13,Xenics Storm,NaJin Sword,0,3,NaJin Sword,2012
937,Korea Regional Finals Season 2,WCS,2012-09-21 10:30:00,26:34,Azubu Blaze,NaJin Sword,0,1,NaJin Sword,2012
938,Korea Regional Finals Season 2,WCS,2012-09-21 11:15:00,32:25,NaJin Sword,Azubu Blaze,1,1,Azubu Blaze,2012
939,Korea Regional Finals Season 2,WCS,2012-09-21 12:00:00,43:50,Azubu Blaze,NaJin Sword,2,1,Azubu Blaze,2012
940,Korea Regional Finals Season 2,WCS,2012-09-21 12:45:00,30:33,NaJin Sword,Azubu Blaze,2,2,NaJin Sword,2012
941,Korea Regional Finals Season 2,WCS,2012-09-21 13:30:00,23:40,NaJin Sword,Azubu Blaze,3,2,NaJin Sword,2012
2155,Worlds Season 2,WCS,2012-10-04 16:00:00,41:29,Azubu Frost,Invictus Gaming,1,0,Azubu Frost,2012
2156,Worlds Season 2,WCS,2012-10-04 17:00:00,29:17,Invictus Gaming,CLG Prime,1,0,Invictus Gaming,2012
2157,Worlds Season 2,WCS,2012-10-04 18:00:00,29:40,SK Gaming,Azubu Frost,0,1,Azubu Frost,2012
2158,Worlds Season 2,WCS,2012-10-04 19:00:00,35:41,SK Gaming,CLG Prime,0,1,CLG Prime,2012
2159,Worlds Season 2,WCS,2012-10-04 20:00:00,26:40,Azubu Frost,CLG Prime,1,0,Azubu Frost,2012
2160,Worlds Season 2,WCS,2012-10-04 21:00:00,29:59,Invictus Gaming,SK Gaming,1,0,Invictus Gaming,2012
2161,Worlds Season 2,WCS,2012-10-04 22:00:00,34:48,Dignitas,Counter Logic Gaming Europe,0,1,Counter Logic Gaming Europe,2012
2162,Worlds Season 2,WCS,2012-10-04 23:00:00,23:41,NaJin Sword,Saigon Jokers,1,0,NaJin Sword,2012
2163,Worlds Season 2,WCS,2012-10-05 00:00:00,28:32,Counter Logic Gaming Europe,NaJin Sword,0,1,NaJin Sword,2012
2164,Worlds Season 2,WCS,2012-10-05 01:00:00,27:23,Dignitas,Saigon Jokers,0,1,Saigon Jokers,2012
2165,Worlds Season 2,WCS,2012-10-05 01:00:00,29:35,Saigon Jokers,Counter Logic Gaming Europe,0,1,Counter Logic Gaming Europe,2012
2166,Worlds Season 2,WCS,2012-10-05 03:00:00,41:24,Dignitas,NaJin Sword,0,1,NaJin Sword,2012
2167,Worlds Season 2,WCS,2012-10-05 19:00:00,32:50,Moscow Five,Invictus Gaming,1,0,Moscow Five,2012
2168,Worlds Season 2,WCS,2012-10-05 20:00:00,30:02,Invictus Gaming,Moscow Five,0,2,Moscow Five,2012
2169,Worlds Season 2,WCS,2012-10-05 21:00:00,26:42,Taipei Assassins,NaJin Sword,1,0,Taipei Assassins,2012
2170,Worlds Season 2,WCS,2012-10-05 22:00:00,33:31,NaJin Sword,Taipei Assassins,0,2,Taipei Assassins,2012
2171,Worlds Season 2,WCS,2012-10-05 23:00:00,39:36,TSM,Azubu Frost,0,1,Azubu Frost,2012
2172,Worlds Season 2,WCS,2012-10-06 00:00:00,32:35,Azubu Frost,TSM,2,0,Azubu Frost,2012
2173,Worlds Season 2,WCS,2012-10-07 04:00:00,41:50,Counter Logic Gaming Europe,Team WE,0,1,Team WE,2012
2174,Worlds Season 2,WCS,2012-10-07 05:00:00,54:59,Team WE,Counter Logic Gaming Europe,1,1,Counter Logic Gaming Europe,2012
2175,Worlds Season 2,WCS,2012-10-11 01:00:00,31:20,Moscow Five,Taipei Assassins,1,0,Moscow Five,2012
2176,Worlds Season 2,WCS,2012-10-11 02:00:00,28:01,Taipei Assassins,Moscow Five,1,1,Taipei Assassins,2012
2178,Worlds Season 2,WCS,2012-10-11 03:00:00,44:08,Moscow Five,Taipei Assassins,1,2,Taipei Assassins,2012
2177,Worlds Season 2,WCS,2012-10-11 03:00:00,43:27,Counter Logic Gaming Europe,Team WE,2,1,Counter Logic Gaming Europe,2012
2179,Worlds Season 2,WCS,2012-10-11 04:00:00,35:43,Counter Logic Gaming Europe,Azubu Frost,1,0,Counter Logic Gaming Europe,2012
2180,Worlds Season 2,WCS,2012-10-11 05:00:00,30:02,Azubu Frost,Counter Logic Gaming Europe,1,1,Azubu Frost,2012
2181,Worlds Season 2,WCS,2012-10-11 06:00:00,40:34,Counter Logic Gaming Europe,Azubu Frost,1,2,Azubu Frost,2012
2182,Worlds Season 2,WCS,2012-10-14 00:30:00,41:44,Taipei Assassins,Azubu Frost,0,1,Azubu Frost,2012
2183,Worlds Season 2,WCS,2012-10-14 01:30:00,40:16,Azubu Frost,Taipei Assassins,1,1,Taipei Assassins,2012
2184,Worlds Season 2,WCS,2012-10-14 02:30:00,22:04,Taipei Assassins,Azubu Frost,2,1,Taipei Assassins,2012
2185,Worlds Season 2,WCS,2012-10-14 03:30:00,38:59,Azubu Frost,Taipei Assassins,1,3,Taipei Assassins,2012
183,GPL 2014 Winter,GPL,2013-01-06 12:00:00,33:34,ahq eSports Club,Saigon Jokers,1,0,ahq eSports Club,2013
26929,NA LCS 2013 Spring,NA LCS,2013-02-07 21:00:00,39:10,TSM,Counter Logic Gaming,0,1,Counter Logic Gaming,2013
26930,NA LCS 2013 Spring,NA LCS,2013-02-07 22:00:00,41:09,Team Curse,Dignitas,1,0,Team Curse,2013
26931,NA LCS 2013 Spring,NA LCS,2013-02-07 23:00:00,44:47,Counter Logic Gaming,Good Game University,1,0,Counter Logic Gaming,2013
26932,NA LCS 2013 Spring,NA LCS,2013-02-08 00:00:00,32:58,TSM,Team Vulcun,1,0,TSM,2013
26933,NA LCS 2013 Spring,NA LCS,2013-02-09 01:00:00,41:19,Team Curse,Counter Logic Gaming,1,0,Team Curse,2013
26934,NA LCS 2013 Spring,NA LCS,2013-02-09 02:00:00,29:17,TSM,Dignitas,1,0,TSM,2013
26935,NA LCS 2013 Spring,NA LCS,2013-02-09 03:00:00,48:31,Good Game University,Team Curse,0,1,Team Curse,2013
26936,NA LCS 2013 Spring,NA LCS,2013-02-09 04:00:00,33:15,Team Vulcun,Dignitas,0,1,Dignitas,2013
29033,EU LCS 2013 Spring,EU LCS,2013-02-09 17:00:00,41:27,SK Gaming,Fnatic,0,1,Fnatic,2013
29034,EU LCS 2013 Spring,EU LCS,2013-02-09 18:00:00,49:02,Gambit Gaming,Evil Geniuses.EU,0,1,Evil Geniuses.EU,2013
29035,EU LCS 2013 Spring,EU LCS,2013-02-09 19:00:00,46:09,Fnatic,Giants Gaming,1,0,Fnatic,2013
29036,EU LCS 2013 Spring,EU LCS,2013-02-09 20:00:00,44:50,SK Gaming,Copenhagen Wolves,1,0,SK Gaming,2013
29037,EU LCS 2013 Spring,EU LCS,2013-02-10 17:00:00,30:05,Fnatic,Gambit Gaming,0,1,Gambit Gaming,2013
29038,EU LCS 2013 Spring,EU LCS,2013-02-10 18:00:00,40:13,Copenhagen Wolves,Evil Geniuses.EU,0,1,Evil Geniuses.EU,2013
29039,EU LCS 2013 Spring,EU LCS,2013-02-10 19:00:00,32:30,Giants Gaming,Gambit Gaming,1,0,Giants Gaming,2013
29040,EU LCS 2013 Spring,EU LCS,2013-02-10 20:00:00,47:55,SK Gaming,Evil Geniuses.EU,1,0,SK Gaming,2013
26937,NA LCS 2013 Spring,NA LCS,2013-02-14 21:00:00,25:32,Dignitas,Team MRN,1,0,Dignitas,2013
26938,NA LCS 2013 Spring,NA LCS,2013-02-14 22:00:00,40:02,Team Vulcun,TSM,0,1,TSM,2013
26939,NA LCS 2013 Spring,NA LCS,2013-02-14 23:00:00,40:21,compLexity Gaming,Team Curse,0,1,Team Curse,2013
26940,NA LCS 2013 Spring,NA LCS,2013-02-15 00:00:00,25:17,Dignitas,TSM,1,0,Dignitas,2013
26941,NA LCS 2013 Spring,NA LCS,2013-02-16 01:00:00,29:43,Team Curse,Team Vulcun,1,0,Team Curse,2013
26942,NA LCS 2013 Spring,NA LCS,2013-02-16 02:00:00,36:37,Dignitas,Good Game University,1,0,Dignitas,2013
26943,NA LCS 2013 Spring,NA LCS,2013-02-16 03:00:00,33:48,TSM,Team MRN,1,0,TSM,2013
26944,NA LCS 2013 Spring,NA LCS,2013-02-16 04:00:00,38:54,Good Game University,Team Vulcun,1,0,Good Game University,2013
29041,EU LCS 2013 Spring,EU LCS,2013-02-16 18:00:00,37:58,Evil Geniuses.EU,DragonBorns,1,0,Evil Geniuses.EU,2013
29042,EU LCS 2013 Spring,EU LCS,2013-02-16 19:00:00,49:08,Copenhagen Wolves,SK Gaming,0,1,SK Gaming,2013
29043,EU LCS 2013 Spring,EU LCS,2013-02-16 20:00:00,39:41,against All authority,Gambit Gaming,0,1,Gambit Gaming,2013
29044,EU LCS 2013 Spring,EU LCS,2013-02-16 21:00:00,45:30,Evil Geniuses.EU,SK Gaming,1,0,Evil Geniuses.EU,2013
29045,EU LCS 2013 Spring,EU LCS,2013-02-17 18:00:00,35:56,Evil Geniuses.EU,Giants Gaming,1,0,Evil Geniuses.EU,2013
29046,EU LCS 2013 Spring,EU LCS,2013-02-17 19:00:00,44:57,SK Gaming,DragonBorns,0,1,DragonBorns,2013
29047,EU LCS 2013 Spring,EU LCS,2013-02-17 20:00:00,40:48,Gambit Gaming,Copenhagen Wolves,1,0,Gambit Gaming,2013
29048,EU LCS 2013 Spring,EU LCS,2013-02-17 21:00:00,43:36,Giants Gaming,Copenhagen Wolves,1,0,Giants Gaming,2013
26945,NA LCS 2013 Spring,NA LCS,2013-02-21 21:00:00,37:37,Team Vulcun,Counter Logic Gaming,1,0,Team Vulcun,2013
26946,NA LCS 2013 Spring,NA LCS,2013-02-21 22:00:00,33:06,Team Curse,Good Game University,1,0,Team Curse,2013
26947,NA LCS 2013 Spring,NA LCS,2013-02-21 23:00:00,36:27,Dignitas,Counter Logic Gaming,1,0,Dignitas,2013
26948,NA LCS 2013 Spring,NA LCS,2013-02-22 00:00:00,32:47,compLexity Gaming,Team Vulcun,0,1,Team Vulcun,2013
26949,NA LCS 2013 Spring,NA LCS,2013-02-23 01:00:00,32:27,Team MRN,Good Game University,1,0,Team MRN,2013
26950,NA LCS 2013 Spring,NA LCS,2013-02-23 02:00:00,33:37,Counter Logic Gaming,compLexity Gaming,1,0,Counter Logic Gaming,2013
26951,NA LCS 2013 Spring,NA LCS,2013-02-23 03:00:00,28:58,Team MRN,Team Vulcun,0,1,Team Vulcun,2013
26952,NA LCS 2013 Spring,NA LCS,2013-02-23 04:00:00,42:17,Good Game University,compLexity Gaming,0,1,compLexity Gaming,2013
29049,EU LCS 2013 Spring,EU LCS,2013-02-23 18:00:00,24:48,Copenhagen Wolves,Fnatic,0,1,Fnatic,2013
29050,EU LCS 2013 Spring,EU LCS,2013-02-23 19:00:00,33:30,Gambit Gaming,Giants Gaming,1,0,Gambit Gaming,2013
29051,EU LCS 2013 Spring,EU LCS,2013-02-23 20:00:00,49:02,against All authority,Copenhagen Wolves,1,0,against All authority,2013
29052,EU LCS 2013 Spring,EU LCS,2013-02-23 21:00:00,33:46,Evil Geniuses.EU,Fnatic,0,1,Fnatic,2013
29053,EU LCS 2013 Spring,EU LCS,2013-02-24 18:00:00,47:40,DragonBorns,Giants Gaming,0,1,Giants Gaming,2013
29054,EU LCS 2013 Spring,EU LCS,2013-02-24 19:00:00,28:17,Fnatic,against All authority,1,0,Fnatic,2013
29055,EU LCS 2013 Spring,EU LCS,2013-02-24 20:00:00,33:45,DragonBorns,Copenhagen Wolves,1,0,DragonBorns,2013
29056,EU LCS 2013 Spring,EU LCS,2013-02-24 21:00:00,41:40,Giants Gaming,against All authority,0,1,against All authority,2013
26953,NA LCS 2013 Spring,NA LCS,2013-02-27 19:00:00,29:48,Counter Logic Gaming,Team Vulcun,1,0,Counter Logic Gaming,2013
26954,NA LCS 2013 Spring,NA LCS,2013-02-27 20:00:00,31:00,Team Curse,Team MRN,1,0,Team Curse,2013
26955,NA LCS 2013 Spring,NA LCS,2013-02-27 21:00:00,35:23,TSM,compLexity Gaming,1,0,TSM,2013
26956,NA LCS 2013 Spring,NA LCS,2013-02-27 22:00:00,33:00,Good Game University,Counter Logic Gaming,0,1,Counter Logic Gaming,2013
26957,NA LCS 2013 Spring,NA LCS,2013-02-27 23:00:00,24:30,Team Curse,compLexity Gaming,1,0,Team Curse,2013
26958,NA LCS 2013 Spring,NA LCS,2013-02-28 00:00:00,29:36,Good Game University,TSM,0,1,TSM,2013
26959,NA LCS 2013 Spring,NA LCS,2013-02-28 01:00:00,34:30,Dignitas,Team Vulcun,1,0,Dignitas,2013
26960,NA LCS 2013 Spring,NA LCS,2013-02-28 02:00:00,44:6,Counter Logic Gaming,Team MRN,0,1,Team MRN,2013
26961,NA LCS 2013 Spring,NA LCS,2013-02-28 03:00:00,32:6,Dignitas,Team Curse,1,0,Dignitas,2013
26962,NA LCS 2013 Spring,NA LCS,2013-02-28 04:00:00,40:17,Team Vulcun,compLexity Gaming,1,0,Team Vulcun,2013
26963,NA LCS 2013 Spring,NA LCS,2013-02-28 05:00:00,29:11,Good Game University,Dignitas,0,1,Dignitas,2013
26964,NA LCS 2013 Spring,NA LCS,2013-02-28 06:00:00,38:53,Team MRN,TSM,1,0,Team MRN,2013
26965,NA LCS 2013 Spring,NA LCS,2013-02-28 21:00:00,62:00,TSM,Team Vulcun,1,0,TSM,2013
26966,NA LCS 2013 Spring,NA LCS,2013-02-28 22:00:00,19:53,Dignitas,compLexity Gaming,1,0,Dignitas,2013
26967,NA LCS 2013 Spring,NA LCS,2013-02-28 23:00:00,34:12,Good Game University,Team MRN,0,1,Team MRN,2013
26968,NA LCS 2013 Spring,NA LCS,2013-03-01 00:00:00,33:42,Counter Logic Gaming,Team Curse,1,0,Counter Logic Gaming,2013
29057,EU LCS 2013 Spring,EU LCS,2013-03-01 11:00:00,35:45,Gambit Gaming,DragonBorns,1,0,Gambit Gaming,2013
29058,EU LCS 2013 Spring,EU LCS,2013-03-01 12:00:00,32:42,SK Gaming,against All authority,1,0,SK Gaming,2013
29059,EU LCS 2013 Spring,EU LCS,2013-03-01 13:00:00,43:45,Giants Gaming,Fnatic,0,1,Fnatic,2013
29060,EU LCS 2013 Spring,EU LCS,2013-03-01 14:00:00,33:30,Evil Geniuses.EU,Copenhagen Wolves,1,0,Evil Geniuses.EU,2013
29061,EU LCS 2013 Spring,EU LCS,2013-03-01 15:00:00,35:30,Giants Gaming,SK Gaming,0,1,SK Gaming,2013
29062,EU LCS 2013 Spring,EU LCS,2013-03-01 16:00:00,35:30,Fnatic,DragonBorns,1,0,Fnatic,2013
29063,EU LCS 2013 Spring,EU LCS,2013-03-01 17:00:00,28:6,Evil Geniuses.EU,Gambit Gaming,0,1,Gambit Gaming,2013
29064,EU LCS 2013 Spring,EU LCS,2013-03-01 18:00:00,28:11,Copenhagen Wolves,against All authority,1,0,Copenhagen Wolves,2013
26969,NA LCS 2013 Spring,NA LCS,2013-03-02 01:00:00,42:42,TSM,Team Curse,0,1,Team Curse,2013
26970,NA LCS 2013 Spring,NA LCS,2013-03-02 02:00:00,34:47,compLexity Gaming,Counter Logic Gaming,0,1,Counter Logic Gaming,2013
26971,NA LCS 2013 Spring,NA LCS,2013-03-02 03:00:00,29:00,Team MRN,Dignitas,0,1,Dignitas,2013
26972,NA LCS 2013 Spring,NA LCS,2013-03-02 04:00:00,44:00,Team Vulcun,Good Game University,0,1,Good Game University,2013
29065,EU LCS 2013 Spring,EU LCS,2013-03-02 17:00:00,40:30,Fnatic,Copenhagen Wolves,0,1,Copenhagen Wolves,2013
29066,EU LCS 2013 Spring,EU LCS,2013-03-02 18:00:00,35:30,Evil Geniuses.EU,against All authority,0,1,against All authority,2013
29067,EU LCS 2013 Spring,EU LCS,2013-03-02 19:00:00,39:00,Gambit Gaming,Fnatic,1,0,Gambit Gaming,2013
29068,EU LCS 2013 Spring,EU LCS,2013-03-02 20:00:00,30:15,Giants Gaming,DragonBorns,0,1,DragonBorns,2013
29069,EU LCS 2013 Spring,EU LCS,2013-03-02 21:00:00,40:23,SK Gaming,Copenhagen Wolves,1,0,SK Gaming,2013
29070,EU LCS 2013 Spring,EU LCS,2013-03-02 22:00:00,29:48,Gambit Gaming,against All authority,1,0,Gambit Gaming,2013
29071,EU LCS 2013 Spring,EU LCS,2013-03-03 17:00:00,35:12,against All authority,Fnatic,0,1,Fnatic,2013
29072,EU LCS 2013 Spring,EU LCS,2013-03-03 18:00:00,26:00,SK Gaming,Gambit Gaming,0,1,Gambit Gaming,2013
29073,EU LCS 2013 Spring,EU LCS,2013-03-03 19:00:00,30:41,DragonBorns,Evil Geniuses.EU,1,0,DragonBorns,2013
29074,EU LCS 2013 Spring,EU LCS,2013-03-03 20:00:00,26:00,Copenhagen Wolves,Giants Gaming,1,0,Copenhagen Wolves,2013
29075,EU LCS 2013 Spring,EU LCS,2013-03-03 21:00:00,32:00,DragonBorns,SK Gaming,0,1,SK Gaming,2013
29076,EU LCS 2013 Spring,EU LCS,2013-03-03 22:00:00,23:41,Giants Gaming,Evil Geniuses.EU,1,0,Giants Gaming,2013
26973,NA LCS 2013 Spring,NA LCS,2013-03-16 00:00:00,26:00,TSM,Good Game University,1,0,TSM,2013
26974,NA LCS 2013 Spring,NA LCS,2013-03-16 01:00:00,36:36,compLexity Gaming,Dignitas,1,0,compLexity Gaming,2013
26975,NA LCS 2013 Spring,NA LCS,2013-03-16 02:00:00,34:36,Team Curse,Counter Logic Gaming,1,0,Team Curse,2013
26976,NA LCS 2013 Spring,NA LCS,2013-03-16 03:00:00,27:11,Team Vulcun,Team MRN,1,0,Team Vulcun,2013
8298,LPL 2013 Spring,LPL,2013-03-16 06:00:00,39:13,Team Livemore,Wings of Aurora,1,0,Team Livemore,2013
8299,LPL 2013 Spring,LPL,2013-03-16 07:00:00,28:56,Wayi Spider China,Oh My God,0,1,Oh My God,2013
8300,LPL 2013 Spring,LPL,2013-03-16 08:00:00,35:51,Positive Energy,Invictus Gaming,0,1,Invictus Gaming,2013
8301,LPL 2013 Spring,LPL,2013-03-16 09:00:00,43:36,Team WE,Royal Club,1,0,Team WE,2013
29077,EU LCS 2013 Spring,EU LCS,2013-03-16 14:00:00,35:30,Evil Geniuses.EU,DragonBorns,1,0,Evil Geniuses.EU,2013
29078,EU LCS 2013 Spring,EU LCS,2013-03-16 15:00:00,49:30,SK Gaming,against All authority,0,1,against All authority,2013
26977,NA LCS 2013 Spring,NA LCS,2013-03-16 23:00:00,27:23,Team Curse,TSM,1,0,Team Curse,2013
26978,NA LCS 2013 Spring,NA LCS,2013-03-17 00:00:00,28:00,Dignitas,Good Game University,1,0,Dignitas,2013
26979,NA LCS 2013 Spring,NA LCS,2013-03-17 01:00:00,51:53,compLexity Gaming,Team Vulcun,1,0,compLexity Gaming,2013
26980,NA LCS 2013 Spring,NA LCS,2013-03-17 02:00:00,38:00,Team MRN,Counter Logic Gaming,0,1,Counter Logic Gaming,2013
8302,LPL 2013 Spring,LPL,2013-03-17 06:00:00,24:11,Royal Club,Oh My God,1,0,Royal Club,2013
8303,LPL 2013 Spring,LPL,2013-03-17 07:00:00,33:52,Positive Energy,Team Livemore,1,0,Positive Energy,2013
8304,LPL 2013 Spring,LPL,2013-03-17 08:00:00,25:28,Invictus Gaming,Wings of Aurora,1,0,Invictus Gaming,2013
8305,LPL 2013 Spring,LPL,2013-03-17 09:00:00,38:33,Team WE,Wayi Spider China,1,0,Team WE,2013
29079,EU LCS 2013 Spring,EU LCS,2013-03-17 12:00:00,56:00,Fnatic,Evil Geniuses.EU,1,0,Fnatic,2013
29080,EU LCS 2013 Spring,EU LCS,2013-03-17 13:00:00,29:11,SK Gaming,DragonBorns,1,0,SK Gaming,2013
29081,EU LCS 2013 Spring,EU LCS,2013-03-17 14:00:00,39:47,Evil Geniuses.EU,against All authority,1,0,Evil Geniuses.EU,2013
29082,EU LCS 2013 Spring,EU LCS,2013-03-17 15:00:00,38:6,Fnatic,SK Gaming,1,0,Fnatic,2013
29083,EU LCS 2013 Spring,EU LCS,2013-03-17 16:00:00,32:42,DragonBorns,against All authority,0,1,against All authority,2013
29084,EU LCS 2013 Spring,EU LCS,2013-03-17 17:00:00,51:15,Copenhagen Wolves,Fnatic,0,1,Fnatic,2013
26981,NA LCS 2013 Spring,NA LCS,2013-03-17 20:00:00,40:12,compLexity Gaming,TSM,0,1,TSM,2013
26982,NA LCS 2013 Spring,NA LCS,2013-03-17 21:00:00,59:30,Team Vulcun,Dignitas,1,0,Team Vulcun,2013
26983,NA LCS 2013 Spring,NA LCS,2013-03-17 22:00:00,37:23,Counter Logic Gaming,Good Game University,0,1,Good Game University,2013
